train_accuracy;train_loss;valid_accuracy;valid_loss
30,8440;1,8855;47,6200;1,4469
43,7140;1,5747;42,9900;2,0741
50,8200;1,3938;63,3300;1,0395
54,0020;1,3052;64,5500;1,0734
58,3080;1,1902;64,6300;1,0584
60,9900;1,1219;64,2300;1,2950
63,1980;1,0597;62,8600;1,2902
64,2140;1,0300;70,1300;1,0419
65,4800;0,9973;70,0500;1,1361
66,6260;0,9627;71,4500;0,9985
67,9120;0,9279;78,3400;0,7124
69,1220;0,8950;74,5700;0,9567
69,5540;0,8751;77,0900;0,7867
70,2700;0,8594;76,8800;0,7322
71,3200;0,8290;80,0300;0,6241
71,4420;0,8249;75,6700;0,8359
72,0140;0,8096;80,1000;0,6739
72,2180;0,7981;81,9700;0,5723
72,6240;0,7895;83,6300;0,5161
73,3060;0,7771;79,2100;0,6931
72,0660;0,8008;83,8200;0,5275
73,8300;0,7544;84,0300;0,4949
73,2420;0,7735;85,1800;0,4543
74,0640;0,7480;84,5800;0,4815
74,2240;0,7547;85,6000;0,4516
74,9520;0,7255;86,4700;0,4168
74,3340;0,7375;86,2400;0,4046
75,0760;0,7251;82,5500;0,5138
74,5100;0,7357;81,9500;0,5747
75,0860;0,7236;85,8500;0,4267
75,6900;0,7001;78,4700;0,7312
75,4400;0,7140;87,0200;0,3949
75,8680;0,7027;83,1900;0,5264
76,2000;0,6885;86,5400;0,4173
75,5860;0,7048;86,0400;0,4203
75,8360;0,6978;85,0900;0,4485
76,0000;0,6959;85,0600;0,4578
75,8700;0,7021;87,6900;0,3667
75,5460;0,7078;87,5200;0,3772
75,4300;0,7055;86,2000;0,3978
75,8040;0,6955;87,3900;0,3770
75,7780;0,6982;88,1000;0,3599
76,3480;0,6864;82,5300;0,5395
76,6200;0,6760;88,2100;0,3472
77,2160;0,6562;88,0800;0,3605
76,7920;0,6713;86,0900;0,4082
76,0320;0,6925;84,8100;0,4563
77,0360;0,6652;88,1300;0,3627
77,4760;0,6517;87,7700;0,3696
77,8020;0,6452;87,9700;0,3656
77,2380;0,6614;89,2200;0,3376
77,2360;0,6633;86,9300;0,3836
77,5480;0,6477;86,4100;0,4029
78,6220;0,6232;87,9700;0,3433
77,8700;0,6425;86,6300;0,3993
77,9140;0,6422;89,1400;0,3283
77,0000;0,6644;87,4100;0,3726
77,4600;0,6538;85,6900;0,4128
78,0560;0,6404;87,0700;0,3823
77,1580;0,6559;84,9900;0,4411
78,2320;0,6328;88,3100;0,3475
77,5400;0,6564;87,0800;0,3706
77,9700;0,6329;88,5000;0,3434
77,0960;0,6603;88,7000;0,3398
77,3040;0,6523;86,3600;0,3987
77,5560;0,6481;80,5200;0,6081
78,5380;0,6226;86,1100;0,4034
77,7100;0,6447;89,5200;0,3076
78,0860;0,6289;86,3900;0,4118
77,4480;0,6525;86,7900;0,4023
77,5060;0,6499;89,4700;0,3285
77,8820;0,6400;89,0000;0,3380
78,1220;0,6338;86,0400;0,4962
78,5660;0,6179;86,6300;0,3973
78,4540;0,6216;89,3900;0,3200
78,5960;0,6212;89,0500;0,3265
78,4820;0,6244;88,0600;0,3541
77,8860;0,6360;89,0300;0,3186
78,2600;0,6318;88,9500;0,3376
78,9280;0,6130;82,2700;0,5402
78,7100;0,6126;86,3200;0,4131
78,4260;0,6223;88,7300;0,3414
78,6780;0,6180;89,8700;0,2988
78,7160;0,6202;87,8800;0,3681
78,6940;0,6189;90,0900;0,2985
84,2820;0,4607;93,2900;0,1992
84,9300;0,4358;93,7900;0,1915
85,6020;0,4196;93,1200;0,2117
85,9360;0,4056;93,7900;0,1848
86,6760;0,3832;93,4700;0,2079
85,2800;0,4177;94,0500;0,1882
86,6120;0,3864;94,2000;0,1670
85,5320;0,4137;94,3600;0,1777
86,4900;0,3890;93,5800;0,1864
87,2200;0,3691;93,8400;0,1839
87,8880;0,3558;94,8800;0,1552
88,4940;0,3358;95,0900;0,1506
88,1280;0,3416;95,3400;0,1529
88,3820;0,3323;95,0500;0,1522
89,3220;0,3082;95,3900;0,1459
