train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
35,4820;1,7116;46,2400;1,5027;40,4000;25,3600
55,7480;1,2158;58,2800;1,2481;45,8474;28,0900
65,4380;0,9642;63,3100;1,1637;44,4316;33,9800
70,7980;0,8167;64,1900;1,2919;49,1474;40,0400
75,0480;0,7084;63,4400;1,2907;47,4105;39,9900
78,5160;0,6133;73,3500;0,8520;53,0368;41,9700
80,6140;0,5553;74,7700;0,8674;48,2105;44,2000
82,7200;0,4922;77,7000;0,7378;52,4526;47,4800
84,6340;0,4389;76,1500;0,8009;48,4579;43,4300
86,0280;0,3983;81,3600;0,6126;52,9947;54,4500
87,6340;0,3570;79,0000;0,8012;49,9895;57,2200
88,6740;0,3221;79,3600;0,7501;51,0105;55,6300
89,8700;0,2923;79,0400;0,8203;49,8211;58,5500
90,4280;0,2728;81,1100;0,6917;51,3842;59,0600
90,7380;0,2626;81,0500;0,7028;51,4474;58,2500
83,5960;0,4731;76,1300;0,9165;51,7842;53,7900
84,4500;0,4446;74,0700;1,0449;47,1526;50,7400
85,6340;0,4129;79,7800;0,7258;55,0895;56,8400
86,4700;0,3859;77,6200;0,8353;51,2316;53,6900
87,8660;0,3476;74,6800;1,1556;48,6895;57,1400
88,2780;0,3339;82,3800;0,6692;51,0158;58,2700
89,2380;0,3129;82,1400;0,6955;56,3737;62,0300
89,7100;0,2948;82,6300;0,6539;54,3789;60,8600
90,3300;0,2774;74,0800;1,0361;45,9947;54,3900
91,0100;0,2585;76,4800;0,9477;50,0263;55,3900
91,4780;0,2444;79,2400;0,8438;53,6158;61,6900
92,0400;0,2270;85,0300;0,6186;56,5895;68,3400
92,5840;0,2096;79,7900;0,9281;48,9579;64,2800
93,1200;0,1949;84,8500;0,6470;56,9789;71,4000
93,8720;0,1752;84,4200;0,6799;53,8737;68,6600
94,2140;0,1678;86,4700;0,5823;57,4263;71,0600
94,5140;0,1525;82,9100;0,8172;54,6105;68,7100
94,9860;0,1438;82,1200;0,9749;51,9053;69,9700
95,4680;0,1268;84,1600;0,8303;52,1158;73,1700
96,1620;0,1120;85,8300;0,7777;57,1842;75,8100
96,2660;0,1048;83,6900;0,9611;52,4526;74,3200
96,7320;0,0945;86,7200;0,6996;57,9105;76,8200
97,2980;0,0831;84,6400;0,8834;55,7579;75,4900
97,3400;0,0776;88,1200;0,6635;58,5632;79,2500
97,6980;0,0693;87,4200;0,7284;58,3579;79,0900
97,7540;0,0662;87,6200;0,7480;57,2526;79,1800
97,9080;0,0619;88,5000;0,6606;58,7947;80,4400
98,0560;0,0607;88,3900;0,6921;58,2263;80,2000
98,1320;0,0564;88,5000;0,6739;58,2947;80,8500
98,1760;0,0565;88,5200;0,6909;58,5526;80,4900
91,8440;0,2314;82,8600;0,7345;58,8842;66,3100
91,8740;0,2305;81,4200;0,8830;56,2947;67,3800
92,2860;0,2151;78,1100;1,1265;49,9053;64,8900
92,3340;0,2139;85,5400;0,6022;56,2526;68,3000
93,0040;0,1992;84,5700;0,7232;56,5158;70,2500
93,2020;0,1903;84,9800;0,6905;58,3105;70,0600
93,5700;0,1808;85,7300;0,6492;57,9368;71,6200
93,8920;0,1779;83,6300;0,7394;53,2211;68,9100
93,9060;0,1732;87,9100;0,5485;64,5789;77,6600
94,1920;0,1643;86,6100;0,5398;59,5263;70,8900
94,4320;0,1552;86,8100;0,6489;64,8000;75,4000
94,5760;0,1553;85,7700;0,6787;60,8105;71,9200
95,2700;0,1374;83,4200;0,9133;55,7263;71,6500
95,0900;0,1402;87,8200;0,5933;60,7632;76,6100
95,0180;0,1410;87,9600;0,6120;60,0211;76,1400
95,4780;0,1301;85,9200;0,6608;57,9579;74,1400
95,5100;0,1264;89,6200;0,4362;66,0579;78,6800
95,7240;0,1210;88,3300;0,5903;59,9737;76,9700
95,9480;0,1147;86,7900;0,6537;55,2000;76,2000
96,0480;0,1101;87,8000;0,6057;59,4105;79,0100
96,3500;0,1021;89,6600;0,4876;63,6737;80,4300
96,4500;0,1004;89,9300;0,5134;62,5158;80,8500
96,6420;0,0931;89,5000;0,5429;65,7000;81,6600
96,7520;0,0903;89,6500;0,5275;69,2842;82,4400
96,9460;0,0873;89,9400;0,5271;65,8737;80,7900
97,1540;0,0816;89,5200;0,5829;64,9842;82,2700
97,2700;0,0779;88,7400;0,6753;61,7684;81,2100
97,4080;0,0743;90,7800;0,4854;66,3789;83,7200
97,7920;0,0639;90,0200;0,5501;60,6000;81,5200
97,7860;0,0624;91,2200;0,4710;65,2579;84,0200
97,8200;0,0634;91,4300;0,4989;66,4263;84,8900
98,1600;0,0546;91,1500;0,4802;62,7684;84,4300
98,1600;0,0531;91,1000;0,5089;64,6737;85,5800
98,2980;0,0489;91,8200;0,4508;63,7000;84,3700
98,3540;0,0472;90,7100;0,5512;63,4632;84,9200
98,5620;0,0439;91,4500;0,4849;64,2684;85,7300
98,6880;0,0387;91,5800;0,5551;62,8211;84,9300
98,7620;0,0376;91,7500;0,4762;63,9474;85,4700
98,9300;0,0332;91,9000;0,4798;66,5368;86,2000
98,9480;0,0321;92,4500;0,4439;66,2105;87,1100
99,0340;0,0310;92,5200;0,4491;67,3000;87,4800
99,0600;0,0293;92,4000;0,4376;65,8947;86,5500
