train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
4,9260;4,4359;8,1900;4,1089;8,4105;7,2100
8,2660;4,3183;14,7500;3,7734;16,7789;9,3300
12,0680;4,2120;20,5600;3,5192;23,4211;9,3400
14,7020;4,1472;25,0100;3,3229;27,9158;10,0700
18,1660;4,0156;28,2000;3,1892;29,0211;9,8200
20,3640;3,9513;30,3900;3,1187;30,6158;9,5900
21,7340;3,8980;33,6500;2,9706;33,1211;11,7500
25,1800;3,8120;39,6800;2,7355;37,2789;11,7300
24,4360;3,8631;39,9400;2,7317;37,4789;12,2900
27,6340;3,7712;41,6800;2,6636;36,8526;12,8400
29,1640;3,6535;42,5300;2,6566;39,8947;11,8700
29,5460;3,6981;46,0800;2,5063;43,6053;13,2200
33,1040;3,6183;48,4500;2,5376;46,7579;9,8000
30,7560;3,6344;52,2300;2,2957;48,8368;15,6900
34,5760;3,5906;51,0300;2,3339;45,7842;16,8500
36,6980;3,4716;52,6800;2,3282;47,5368;13,7600
37,3920;3,4513;56,0000;2,2191;49,0316;14,3900
36,6380;3,4719;57,9200;2,1464;51,4211;14,8100
41,5120;3,3353;58,7000;2,0795;51,2684;17,8500
40,2160;3,4509;58,3000;2,2374;51,6947;12,0100
41,8840;3,3724;59,9400;2,0557;52,7105;17,2300
42,0820;3,3559;60,3800;2,0570;52,6842;16,5300
42,5020;3,4175;60,8300;2,0657;53,6105;14,9200
42,6440;3,3581;60,8200;2,0670;52,9789;14,8600
43,5340;3,2716;61,1400;2,0546;53,2105;15,0700
36,2320;3,4647;50,6500;2,4684;45,9632;11,7400
33,5200;3,6306;47,4300;2,4788;41,4526;14,4200
36,5400;3,5367;53,7900;2,2649;44,3684;20,1000
34,2600;3,5942;52,7800;2,2764;46,9474;16,6700
35,9680;3,4573;55,4400;2,1867;48,6105;20,8400
36,6160;3,5190;58,0000;2,1897;50,3947;14,1900
38,8720;3,4409;57,7600;2,1963;49,6000;14,9700
38,7460;3,4254;58,9200;2,0748;51,3684;23,2500
39,5140;3,4191;57,6400;2,1670;49,0368;15,9800
39,0420;3,4902;59,0500;2,0848;52,3263;25,7400
40,4340;3,3698;60,1000;2,0986;52,7368;16,4900
40,3440;3,4210;61,1100;1,9961;56,0579;22,5900
44,2820;3,2774;62,2500;2,0082;52,0211;18,0000
41,9900;3,4236;60,7100;2,1535;51,1368;13,9000
43,4320;3,3775;63,6500;1,9268;56,6053;21,9000
45,3260;3,2606;60,0600;2,2458;53,6368;11,9500
42,4080;3,3262;64,9100;1,9199;56,5737;20,3700
44,1220;3,3162;65,3900;1,9202;56,4632;19,1800
47,1060;3,2565;65,1200;1,8921;54,6421;22,0700
46,0080;3,2863;64,9700;1,9561;57,1842;17,3600
48,9740;3,2415;66,6500;1,8305;57,3684;26,3500
47,6000;3,2214;67,6900;1,7932;58,3263;28,1800
49,5660;3,2363;68,0300;1,7770;57,6211;26,4300
49,6780;3,1958;69,3000;1,7278;59,3842;29,1600
49,4080;3,1611;68,1800;1,8608;58,4842;18,3900
49,6100;3,1944;70,2200;1,8133;59,4632;19,6900
52,7160;3,1181;69,6200;1,7629;60,5316;22,7400
49,1400;3,1493;69,5100;1,7803;60,3474;22,7200
53,3360;3,0993;71,0300;1,6946;61,6632;25,0200
49,0180;3,1534;71,5400;1,7688;61,2211;18,7900
53,8640;3,1431;72,6900;1,6864;63,5789;23,2400
53,7640;3,0806;71,9900;1,6631;63,1105;27,6200
54,7020;3,1152;72,4400;1,6855;63,6158;22,8100
54,4260;3,0589;72,8400;1,6662;63,0421;24,8500
56,9760;3,0142;73,8000;1,5985;63,9211;31,3900
54,0320;2,9936;73,1600;1,6310;64,4895;26,6800
58,3500;2,9575;74,0600;1,6211;65,4211;25,5200
58,6300;2,8801;74,3500;1,5933;64,9947;29,0400
54,3000;3,0244;74,5400;1,5964;64,1684;27,2800
56,2760;2,9886;74,5900;1,5914;65,2158;27,6600
60,0200;2,9425;74,4300;1,6059;65,1421;25,5400
53,1100;3,0956;74,8100;1,6139;65,2632;24,2300
55,5640;3,0217;75,4500;1,5823;66,2947;25,7700
56,2420;2,9670;75,1400;1,5822;66,0474;26,5300
56,1800;2,9973;75,7800;1,5809;66,1579;25,7200
61,2960;2,7754;75,9500;1,5607;66,3684;27,7500
57,6760;2,8572;75,8300;1,5569;66,1526;27,7400
59,9420;2,9115;75,7300;1,5679;66,3526;27,4500
59,1280;2,8596;75,8200;1,5760;66,2789;26,3600
54,9500;3,0264;75,8700;1,5617;66,7368;27,3100
46,3900;3,3054;66,5100;1,8403;57,3579;25,1000
45,8620;3,2482;67,1000;1,8096;60,6000;26,7900
50,4160;3,1875;66,7000;1,8869;56,4947;18,5700
49,7940;3,2004;67,4500;1,8004;57,4368;29,2900
50,2580;3,1974;67,3400;1,8138;56,5684;26,0500
46,6180;3,2791;68,9100;1,7463;59,3632;28,2400
49,2740;3,1107;67,6900;1,8177;57,2158;21,9600
45,4480;3,2666;68,6700;1,7932;60,6842;21,3500
51,2820;3,1784;69,1200;1,8594;58,7789;17,7600
49,2960;3,1595;70,8000;1,7021;60,0000;30,8500
45,4140;3,2929;69,4000;1,7310;60,3211;30,7100
50,6940;3,1067;70,4900;1,7154;59,5421;26,5500
50,4940;3,1603;69,8200;1,8058;59,2316;19,6200
51,7140;3,0920;70,2200;1,7087;59,5947;30,1100
51,3520;3,0170;70,2800;1,7079;60,8579;31,2900
53,8680;3,0549;69,7900;1,7669;59,6105;23,1300
49,2260;3,2291;70,2900;1,8217;60,7368;18,7800
52,5520;3,0499;71,4600;1,6989;60,1684;23,6600
51,3120;3,1299;72,1100;1,6456;61,7789;32,7300
47,2780;3,2284;71,9700;1,6888;60,9842;25,1700
50,9880;3,1246;71,4500;1,7043;60,3842;22,4100
54,1400;3,1092;71,0400;1,7182;60,3263;23,2600
52,4920;3,0683;71,9400;1,6598;59,0684;26,0000
54,2200;3,0456;71,1500;1,7205;61,6842;24,2000
52,8340;3,0603;72,7100;1,6499;63,1579;26,9800
55,3940;3,0549;71,7700;1,7655;61,1684;18,1400
55,5980;2,9655;72,3900;1,7167;60,6316;22,1900
55,3200;3,1412;73,7300;1,6192;63,3895;26,4000
52,9780;3,0992;73,6300;1,6222;62,5158;25,5100
57,7240;2,9691;73,7500;1,6021;62,5474;32,4100
58,6540;2,9730;72,4800;1,7207;61,5158;20,4800
54,5120;3,1144;72,3400;1,7828;61,8053;18,3700
50,7800;3,1801;73,3700;1,6678;62,5737;23,4000
55,0480;3,0447;74,3000;1,6164;62,2211;25,8700
55,8800;3,1052;74,2900;1,6762;64,3211;21,5600
60,7460;2,9303;75,0400;1,5514;62,6263;35,2800
54,1240;3,0139;75,4600;1,5548;64,3474;32,0700
60,3580;2,8556;74,9800;1,6074;63,9737;26,4100
55,3420;2,9321;75,0700;1,5859;64,8684;27,2800
55,7660;3,0129;75,7300;1,5417;66,0053;32,9000
59,3040;2,9641;76,1600;1,5394;64,7211;32,3700
57,1560;2,9047;75,3300;1,5760;63,3263;28,9800
56,2260;2,9832;75,6300;1,5645;65,1158;30,1300
61,0020;2,9235;76,0500;1,5518;64,8263;29,2600
58,3640;2,9536;76,1300;1,5453;65,1789;29,4100
58,8840;3,0051;75,8800;1,5726;63,2684;26,8700
60,4140;2,8780;74,5300;1,6809;64,9000;20,8000
53,7760;3,0520;77,0500;1,5453;65,3053;27,5200
59,5420;2,8358;77,5200;1,5483;64,9421;25,2900
58,8280;2,9866;76,2200;1,5642;64,7421;26,1500
56,9900;3,0601;76,5000;1,5646;64,1368;25,1600
58,6620;2,9465;77,8800;1,5191;66,6632;27,3000
62,9160;2,8941;77,3000;1,5561;64,2158;24,8400
61,2140;2,9790;77,5600;1,5713;65,9474;23,7700
60,4420;2,8612;78,1600;1,4819;65,8895;32,8900
59,0900;2,9645;77,0000;1,6531;64,7947;21,2600
59,8540;2,9486;78,2300;1,5701;67,8368;24,2600
58,3900;2,8996;77,6400;1,5482;65,1737;26,6800
62,1700;2,7794;78,0600;1,5204;65,8421;26,7600
57,8880;2,8631;78,6300;1,4998;67,6053;28,4500
64,1540;2,8722;78,8300;1,5206;66,7579;26,8500
62,2900;2,9048;78,8200;1,4834;65,2579;28,7400
66,7020;2,8018;78,5400;1,5004;66,6474;28,6200
65,7700;2,8226;78,9900;1,4830;66,6842;28,3100
66,9940;2,6609;79,0200;1,4800;66,3789;28,6000
66,9800;2,7223;78,8100;1,4875;66,3737;29,2300
64,9020;2,7634;79,4500;1,5097;67,6684;26,3400
62,7860;2,8550;78,7700;1,5491;67,3368;25,6100
61,6820;2,9250;79,6000;1,4890;67,2368;28,3400
64,0520;2,8257;79,8200;1,4471;68,4000;31,1400
66,1620;2,6946;79,6400;1,4835;68,3526;29,0800
60,7320;2,8817;79,8200;1,4930;67,2474;28,1500
62,9920;2,8269;80,0800;1,4979;67,9105;27,3300
69,2560;2,6361;80,1000;1,4404;68,8632;31,5200
