train_accuracy;train_loss;valid_accuracy;valid_loss
5,0120;4,4175;5,8800;4,5200
7,5640;4,2894;8,1700;4,2128
9,5220;4,2009;12,6800;3,8636
11,7600;4,0958;13,4800;4,0909
14,4800;3,9702;22,5700;3,5396
16,4620;3,9321;24,9000;3,3346
18,9620;3,8175;30,0000;3,1237
22,5160;3,6824;28,8600;3,2682
23,7900;3,6085;34,5500;3,0028
28,0780;3,4660;38,4900;2,7884
16,5080;3,8983;18,9500;4,0844
20,2720;3,7719;27,4000;3,3435
26,2120;3,5182;24,0200;3,4301
23,5160;3,6760;27,1700;3,3126
26,0100;3,5662;32,8200;3,1117
30,0740;3,3985;37,0700;2,9645
31,2980;3,3427;41,0500;2,7145
33,6680;3,3069;38,8800;2,8408
36,8400;3,1826;44,8400;2,5723
35,7380;3,2422;45,2200;2,5652
39,4040;3,1187;48,4900;2,4990
41,4800;3,0574;54,1200;2,2716
39,2880;3,1553;56,2800;2,2310
42,5100;3,0595;51,4600;2,5937
44,7740;2,9522;57,7900;2,1557
43,1440;3,0354;61,1600;2,0927
44,3100;3,0267;59,0200;2,0953
46,1040;2,9099;62,6500;1,9690
47,3760;2,8646;63,3700;1,9650
47,1900;2,8447;61,7700;2,0268
35,4420;3,2635;45,0800;2,6103
39,3480;3,1155;46,4500;2,6955
41,1660;3,0663;41,2300;2,8224
39,8700;3,1209;49,9600;2,3989
40,3060;3,1009;45,5400;2,6429
41,7660;3,0524;48,7400;2,4292
41,6080;3,0519;58,4600;2,0988
45,3180;2,9206;54,2400;2,2812
42,7220;3,0466;55,5700;2,2173
47,4680;2,8868;63,1100;1,9712
45,8960;2,9274;59,5600;2,0755
51,0740;2,7495;59,2600;2,1281
49,0780;2,8467;60,7400;2,0854
49,3680;2,8606;53,8600;2,2936
51,6980;2,7583;61,9400;2,0308
51,7100;2,7287;65,0800;1,9040
52,9100;2,7235;65,8100;1,9290
51,4420;2,7746;63,9500;1,9624
54,5080;2,6278;67,9600;1,7955
49,6660;2,8091;63,6600;2,1289
53,5660;2,7499;64,0500;1,9610
56,1540;2,6434;68,4600;1,8008
54,7900;2,6501;69,0700;1,7875
52,3020;2,6975;69,6500;1,7530
58,3100;2,5492;70,1800;1,7868
56,3780;2,6140;70,6600;1,7919
57,9680;2,5791;70,7100;1,7355
59,9860;2,5273;73,4000;1,6611
60,3660;2,5595;72,0500;1,7030
56,1520;2,6332;73,4800;1,6481
55,0420;2,6569;74,3900;1,6335
61,6580;2,4618;75,2000;1,6352
58,1680;2,5331;74,8500;1,6642
62,1620;2,4857;75,2200;1,6050
63,7300;2,3988;75,6400;1,7516
58,7140;2,5166;76,3100;1,5876
63,6980;2,4678;75,6300;1,5889
61,3100;2,5236;75,9000;1,5720
60,6700;2,4699;76,2000;1,5732
65,5480;2,3117;76,4100;1,5552
51,1480;2,7554;55,3900;2,3179
55,3460;2,6393;64,7800;1,8992
51,2220;2,7510;66,8600;1,9114
52,3960;2,7706;62,2400;1,9827
53,9080;2,6881;63,9900;1,9565
54,3400;2,6780;68,2200;1,8219
56,6520;2,6209;63,5500;2,0089
53,4320;2,6867;66,9300;1,8412
57,9140;2,5576;64,8200;1,9332
53,9820;2,7015;68,2100;1,8431
56,5360;2,5726;69,7300;1,7873
55,2280;2,6489;59,5200;2,1392
53,3240;2,7100;70,0100;1,7513
56,3400;2,5768;64,1800;1,9733
58,0100;2,5488;71,0200;1,7387
53,8620;2,6711;70,2800;1,7455
56,8060;2,5929;69,1200;1,7894
54,3540;2,6747;66,5100;1,8799
59,3720;2,4923;69,8000;1,7540
60,4940;2,4942;68,3600;1,8123
60,7680;2,4739;69,7600;1,8222
61,2980;2,4879;72,4700;1,6515
59,3920;2,5366;70,5100;1,7408
61,7060;2,4769;64,9600;2,0380
64,5480;2,3691;69,4600;1,9324
58,1400;2,5682;73,0200;1,6632
60,3240;2,4697;71,6100;1,7179
58,6580;2,5483;73,3300;1,6728
63,1440;2,4617;74,3500;1,6209
64,5060;2,3446;74,9900;1,6320
64,7520;2,3015;74,1000;1,6131
60,3220;2,4742;73,1500;1,7502
67,5300;2,2838;75,8100;1,5871
63,8720;2,3826;72,4300;1,7078
68,0320;2,3059;76,4900;1,5446
65,9360;2,3542;74,7100;1,6166
62,8380;2,4468;75,1400;1,5979
66,1440;2,3739;73,5000;1,6668
68,2860;2,2624;76,0000;1,5797
63,7960;2,3693;75,5800;1,5981
68,7220;2,2818;77,6800;1,5018
69,4020;2,2172;78,2500;1,4861
67,3940;2,2932;77,1800;1,5390
65,6680;2,3404;77,2900;1,5435
70,8980;2,1801;78,0000;1,5208
66,6260;2,3571;77,0700;1,5313
65,2440;2,3545;77,6200;1,5196
69,0520;2,2123;79,0300;1,4551
69,5880;2,2350;78,6600;1,4928
72,2940;2,1306;77,4600;1,5294
68,3840;2,3254;76,6600;1,6314
67,8000;2,2346;79,2300;1,4554
71,7880;2,1564;79,3800;1,6050
67,9340;2,2251;78,5800;1,4742
70,4220;2,1426;78,6800;1,4853
69,4280;2,2072;79,2400;1,4929
71,3480;2,1277;78,8300;1,5073
75,3120;2,0195;80,3700;1,4158
74,5260;2,0553;79,2400;1,4648
75,0420;2,0693;80,0700;1,4467
71,9740;2,1304;80,6900;1,4292
74,8360;2,1032;80,3600;1,4479
76,0520;1,9988;80,6700;1,4320
70,3240;2,2077;80,8600;1,4170
78,4460;1,9280;80,7400;1,4296
74,0340;2,1041;80,8100;1,4366
74,2760;2,0766;80,8100;1,3973
69,7620;2,2006;80,4800;1,4258
71,8960;2,1473;81,0100;1,4064
74,1420;2,0720;81,1500;1,4072
74,5800;2,1446;80,5300;1,4079
79,0700;1,9066;80,9600;1,4139
73,1080;2,1604;80,9100;1,4202
74,5760;2,0911;80,2700;1,4249
73,3840;2,1484;80,3300;1,4352
75,7240;1,9992;80,4100;1,4278
67,3100;2,3647;80,7300;1,4511
73,2060;2,1328;80,7200;1,4299
73,9040;2,0821;80,9800;1,4111
74,1980;2,0679;80,9200;1,4021
68,0800;2,2485;66,7800;1,9358
64,1900;2,3682;70,2600;1,7766
61,5600;2,4088;69,2500;1,7709
57,8620;2,5586;74,3900;1,6129
68,3900;2,2630;71,5700;1,7338
66,4500;2,2814;74,0200;1,6436
65,0420;2,3862;71,0800;1,8314
67,8960;2,2833;75,9300;1,6096
65,3680;2,3755;76,5700;1,6126
64,0260;2,3240;73,6300;1,6688
61,5360;2,4776;72,0300;1,6873
65,1900;2,3817;68,2800;1,8663
67,6300;2,2393;74,0300;1,6314
60,0240;2,5425;70,1900;1,7675
67,2280;2,3069;74,2300;1,6824
68,4600;2,2249;75,0300;1,6310
66,3120;2,3253;74,7500;1,6299
65,4760;2,3347;75,9600;1,6179
67,0440;2,3035;75,1600;1,6066
70,2080;2,1974;75,7300;1,5825
67,1180;2,3175;74,6200;1,6229
67,5200;2,2341;76,5500;1,5520
65,8620;2,3171;75,5600;1,6031
66,5780;2,3048;76,5700;1,5574
67,0260;2,2567;72,7600;1,6876
69,1920;2,2392;75,7000;1,5861
73,8260;2,1178;77,3000;1,5216
69,1500;2,2651;73,7100;1,7260
69,7660;2,2802;76,9000;1,5687
69,0840;2,2084;75,9200;1,5829
71,4840;2,1298;76,3400;1,5679
68,9320;2,2417;77,4700;1,5609
67,6720;2,2673;75,5900;1,5999
71,0320;2,1700;77,6800;1,5045
70,2760;2,2213;75,3500;1,6390
69,6740;2,1741;74,1300;1,6698
71,1780;2,1395;77,9700;1,5374
68,8060;2,3203;76,4800;1,5701
71,7360;2,1435;76,3300;1,5793
71,4060;2,2275;76,7300;1,5323
73,2840;2,0681;76,6400;1,5700
72,3740;2,1562;75,5800;1,5948
71,7440;2,1442;78,4100;1,5217
67,4900;2,2434;74,6700;1,6371
73,6120;2,0637;77,3500;1,5679
68,9700;2,2374;78,6200;1,5488
70,1180;2,2153;78,0400;1,5023
73,1440;2,1300;77,7700;1,5361
73,1000;2,0839;77,4100;1,5238
71,9560;2,1141;77,6000;1,5573
72,1220;2,0559;76,2300;1,5893
64,3140;2,3315;76,5000;1,5678
70,9200;2,1493;77,5800;1,5585
73,8760;2,1224;77,1000;1,5524
70,4340;2,1465;78,5400;1,5023
72,8720;2,1867;79,6500;1,4878
74,3640;2,0671;78,8300;1,4547
75,4260;2,0258;78,9700;1,4982
69,0440;2,2377;77,7800;1,5320
72,8460;2,0665;79,3200;1,4867
75,1860;1,9981;77,4600;1,5255
73,0000;2,1231;78,1900;1,5320
69,9820;2,1955;77,9800;1,5144
70,6660;2,2107;78,6100;1,4875
74,5280;2,0492;78,9600;1,5026
75,6180;1,9899;77,3100;1,5363
74,6180;2,0475;80,2100;1,4581
74,8540;2,0766;78,9100;1,5470
71,2180;2,1788;79,8000;1,4504
76,5000;1,9870;80,1600;1,4768
71,8740;2,1240;78,3400;1,4893
74,0480;2,0870;78,8600;1,5237
75,3320;2,0378;80,7300;1,4755
76,8460;2,0406;79,6600;1,4711
76,5540;1,9867;76,2200;1,6122
75,7280;1,9072;79,9900;1,5004
74,9040;2,0672;78,7800;1,4955
72,4080;2,1049;77,8300;1,5058
75,0300;2,0664;80,4000;1,4904
70,3760;2,2011;78,7000;1,4908
77,2860;2,0260;80,6000;1,4593
76,0760;1,9415;80,0100;1,4683
73,7340;2,0364;80,5000;1,4535
73,2800;2,1332;81,0000;1,4205
75,1080;2,0480;80,7000;1,4596
77,0400;1,9617;80,2600;1,4478
75,7560;2,0373;77,7500;1,5236
75,1920;2,0317;80,0100;1,4689
76,1880;1,9694;80,7200;1,4274
77,5300;1,9618;79,5900;1,6032
77,4360;1,9481;81,2200;1,4275
80,9320;1,8059;79,8000;1,8984
75,5640;2,0406;81,1700;1,4163
76,1640;1,9304;81,1600;1,4233
76,8500;1,9543;81,3200;1,4401
77,5900;1,8899;80,3900;1,4565
80,3000;1,8422;80,3800;1,4408
72,9880;2,0238;81,3300;1,3882
76,8000;1,9976;81,5200;1,4211
74,9780;1,9691;80,5400;1,4413
74,7500;2,0444;81,9400;1,3762
77,6640;1,9632;81,5800;1,4458
77,4680;1,9135;82,0100;1,4702
76,9980;1,9373;82,3600;1,3912
77,1280;1,9721;82,2300;1,3845
75,5980;1,9724;81,6100;1,4741
74,8620;2,0552;81,9100;1,4170
78,0020;1,9449;82,2400;1,3615
81,5580;1,8770;81,3900;1,4239
80,8180;1,8662;82,6200;1,3761
80,7400;1,8271;82,3200;1,3785
75,0820;2,0124;82,1600;1,3827
76,2700;1,9930;81,5000;1,6019
77,3760;1,9554;81,2400;1,4383
79,0120;1,9184;81,9900;1,3852
80,7820;1,9002;81,8800;1,3955
81,8080;1,8184;82,5600;1,3922
78,6460;1,9766;82,6100;1,4576
79,9840;1,8701;82,7300;1,3602
78,4440;1,9383;82,6600;1,3536
83,5300;1,7275;82,1500;1,3953
74,8740;2,0478;82,1300;1,3850
79,6780;1,8647;82,2000;1,4294
79,4520;1,8542;82,5400;1,3825
76,7760;1,9226;82,4300;1,3885
79,2320;1,8676;82,7900;1,3990
78,9760;1,8748;82,8700;1,3623
78,1060;1,8930;82,3400;1,3657
83,3320;1,7205;82,7500;1,3899
80,4860;1,8649;83,0200;1,4207
78,2460;1,8720;83,0000;1,3697
79,0840;1,9031;82,6700;1,4822
77,6060;1,8955;82,0400;1,4082
78,3500;1,8275;83,0600;1,4150
82,7280;1,7485;82,9000;1,4814
79,5860;1,8832;83,3700;1,4242
76,5040;1,9578;83,4500;1,3868
75,6260;2,0013;83,0500;1,3655
81,9880;1,8243;83,1400;1,3757
78,5160;1,8693;83,3800;1,4412
78,3940;1,9011;83,0800;1,3840
78,5480;1,9408;82,3700;1,4819
82,1560;1,8049;83,3600;1,3619
81,6040;1,7451;83,4000;1,4209
77,9980;1,8770;82,5000;1,3686
80,2120;1,8430;82,8500;1,4167
