train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
4,7520;4,4546;8,8800;4,0994;11,2842;6,8700
7,4960;4,3256;13,0800;3,8601;15,4842;8,2400
9,8200;4,2668;16,7400;3,7409;14,5263;8,3200
13,2660;4,1580;23,0700;3,4077;23,6316;9,5100
14,6660;4,1090;25,4800;3,2796;26,2000;9,3600
17,6560;4,0445;28,5600;3,1446;27,1053;10,0300
19,9760;3,9853;32,7600;2,9944;34,3684;9,0300
21,2380;3,9151;36,8600;2,8419;34,6474;10,1600
22,3520;3,8906;34,3500;2,9968;32,4105;9,3000
24,4080;3,8170;37,9600;2,7782;36,8789;11,0200
26,8040;3,8172;42,7600;2,6430;35,4526;11,4000
26,3240;3,7764;42,5100;2,6584;38,9105;10,9200
29,3580;3,6774;44,3600;2,5576;43,4211;14,4800
30,6320;3,6691;44,2000;2,5676;38,8632;14,0900
30,0880;3,6799;47,1900;2,5349;44,0158;10,8400
33,2760;3,5931;52,1000;2,2815;46,5895;16,1600
34,4440;3,5533;52,5200;2,3553;47,2105;11,7600
35,7020;3,5449;53,3000;2,2410;48,9789;15,7000
36,7660;3,4662;56,1000;2,1464;48,8684;19,7800
36,7380;3,5100;57,1000;2,1532;51,5000;14,6600
38,5860;3,4761;57,2900;2,1462;51,5158;14,3200
36,8480;3,5162;57,5600;2,1309;51,6947;15,8500
38,1820;3,4696;58,7100;2,1144;52,3474;14,2900
40,7500;3,4155;58,9700;2,0907;52,7105;15,6500
38,9900;3,4677;58,5100;2,1062;52,3579;15,1200
29,3360;3,7087;44,8400;2,5625;40,1211;14,9300
30,9960;3,7258;49,2500;2,4233;43,0158;14,9100
33,1620;3,6092;52,7600;2,2942;44,8526;14,1500
31,6420;3,6312;46,0900;2,5380;38,0789;12,1600
34,2500;3,5715;53,1500;2,2899;46,5158;16,2300
34,6100;3,5784;53,7400;2,2540;46,8316;15,5200
34,9880;3,5805;53,3300;2,2744;47,6053;18,6200
36,0980;3,4971;56,7600;2,1449;49,0105;18,3400
37,3540;3,4658;57,1500;2,1583;49,9789;18,3100
37,7620;3,4888;58,0400;2,1133;48,8421;21,3100
38,2420;3,4400;57,4400;2,1408;49,3842;18,9400
39,2380;3,4587;56,8700;2,1730;48,3684;18,4400
39,8820;3,4160;58,7500;2,1334;51,1947;13,4100
40,4320;3,4533;59,1400;2,0758;50,3421;17,9600
41,3160;3,4091;59,7100;2,0892;49,7474;15,5700
42,1520;3,3525;58,7800;2,1392;50,6947;13,7400
39,3700;3,4608;61,3000;1,9776;51,3579;20,7300
42,2320;3,3612;62,7700;1,9455;54,3421;22,2900
42,5740;3,3390;62,2800;1,9813;53,9316;19,4500
44,4840;3,3311;63,5800;1,9393;55,4842;19,9800
43,1000;3,3390;61,7400;2,0410;53,9842;15,8000
45,2420;3,3119;64,4100;1,8988;56,2421;23,1500
43,1480;3,3164;66,0200;1,8312;56,9684;25,1400
44,4000;3,2663;66,2700;1,8444;58,5158;25,2000
45,5880;3,2450;65,5100;1,8673;58,0737;21,2500
46,2580;3,2511;65,1400;1,8868;54,7053;21,4300
44,9760;3,2503;66,4600;1,8405;58,8579;21,0600
46,8360;3,2809;67,1900;1,8245;56,6737;21,9500
47,5700;3,2218;68,1800;1,8262;58,6737;20,4700
47,9880;3,1813;69,0000;1,7456;58,5474;29,6500
47,8500;3,2263;68,9400;1,7763;58,9368;22,7900
49,4900;3,1796;69,4000;1,7501;59,9158;26,5000
48,5480;3,1346;69,1900;1,7492;59,6053;22,4500
49,7840;3,1663;70,3600;1,7087;60,4895;25,3700
49,5120;3,1894;69,9600;1,7387;61,6105;21,6100
49,9260;3,1804;71,6400;1,7175;62,1895;20,5200
54,4120;3,1408;71,7100;1,6678;63,3421;26,2600
50,7780;3,1104;71,5800;1,6703;61,8947;25,5800
51,0820;3,0958;72,4200;1,6358;61,8474;27,4200
51,7600;3,1254;72,6200;1,6510;62,5053;24,9500
53,7440;3,0456;73,0200;1,6341;63,9000;29,2700
53,8680;3,0852;73,0500;1,6325;62,5158;27,1200
53,4380;3,0565;72,8600;1,6643;62,7947;23,4700
54,7160;3,0358;73,0800;1,6182;63,3158;26,3400
54,1400;3,0947;73,6400;1,6400;63,8737;22,6300
56,9760;2,9562;73,6600;1,6130;63,1579;26,3600
52,9020;3,0768;73,6900;1,6167;63,2368;24,6300
53,7200;3,0528;73,7900;1,6096;63,6684;26,4600
55,8820;3,0557;73,8900;1,6239;63,4947;25,2900
56,8080;3,0769;73,6000;1,6219;63,3158;25,4500
45,2640;3,3033;61,9200;1,9833;50,9579;26,8600
42,5240;3,3541;64,4100;1,9008;52,7684;29,3900
43,9140;3,3194;61,4600;1,9855;52,5158;23,1000
42,5860;3,3472;64,6900;1,8994;55,1053;19,9800
41,4960;3,3636;62,7700;1,9806;53,8842;17,6900
43,2980;3,3315;63,2600;1,9377;56,1421;25,0100
46,0760;3,2654;64,0800;1,9146;55,3632;23,7800
43,9460;3,3082;65,2200;1,8943;59,8000;20,3600
45,0220;3,2700;66,7500;1,8246;55,8526;25,1300
44,2840;3,2857;64,9800;1,9307;56,1105;18,6600
44,0720;3,2948;65,0200;1,9180;57,2526;21,4900
44,0820;3,3471;66,4800;1,8232;56,3421;24,3000
45,3500;3,2632;66,0900;1,8368;55,5316;28,9900
46,9060;3,2411;65,6200;1,9070;57,6842;22,7700
44,4140;3,3038;66,2100;1,8370;58,7632;25,6800
45,7820;3,2883;65,7900;1,8903;58,5895;20,2800
46,6860;3,2634;65,7000;1,8882;58,5211;19,5000
45,8080;3,2846;67,3900;1,8156;58,3947;22,8800
47,8180;3,2307;66,7500;1,8534;58,9000;18,9400
46,6340;3,2181;65,8700;1,8453;54,6474;25,3700
47,2460;3,2154;63,6200;1,9345;57,2368;20,4900
47,1640;3,2568;67,6200;1,7983;58,1632;25,6700
48,7100;3,1877;67,5000;1,7848;56,8000;24,7300
47,8460;3,2088;69,0100;1,7632;57,8053;26,4300
47,1100;3,2188;66,3500;1,8283;58,6316;23,4300
47,7480;3,2091;69,0000;1,7382;58,5842;29,9900
49,1480;3,1684;68,4400;1,7813;56,5632;25,0400
48,1160;3,1739;68,6200;1,7801;58,7316;23,3100
51,0120;3,1882;68,8700;1,7880;58,2632;23,0200
48,1660;3,1637;67,9300;1,7939;58,5526;24,6800
52,0260;3,1571;68,8200;1,7655;59,2526;22,8200
51,8780;3,1216;68,3000;1,7766;58,2316;26,6800
48,9240;3,2012;68,6500;1,8611;59,6789;19,4600
49,5360;3,1320;70,1400;1,6968;61,5895;30,6100
51,4660;3,1660;69,0600;1,7761;58,6158;23,9600
47,5780;3,2035;69,5200;1,7549;61,0158;27,0700
49,5680;3,1844;70,1900;1,7289;60,7632;24,6500
50,7340;3,0936;68,7600;1,7737;61,4842;24,1600
49,5520;3,1498;71,4300;1,7059;62,1000;25,2800
52,2640;3,1507;70,9100;1,7829;59,6737;20,4500
51,3220;3,1150;70,6000;1,7040;59,5053;28,5000
53,7840;3,0811;71,4400;1,7163;62,2368;24,2700
51,6360;3,1319;70,9500;1,6972;60,1368;24,3100
54,0260;3,0652;71,0300;1,7050;59,2842;22,5300
51,1640;3,1280;70,8400;1,7034;60,5737;25,5900
53,0220;3,1089;72,1500;1,6886;61,7105;23,5200
52,2860;3,0782;71,2700;1,6927;60,7842;26,2800
52,7940;3,0955;72,9600;1,6367;62,8211;25,8200
55,1360;3,0473;72,7000;1,6629;61,6632;24,9600
55,7020;3,0513;72,7700;1,6415;61,0211;27,8200
53,8580;3,0509;72,7800;1,6471;61,5895;27,1000
53,9780;3,0630;73,1700;1,6265;61,4263;26,4000
53,8920;3,0928;73,1500;1,6503;60,0211;25,8600
54,0320;3,0268;73,1500;1,6371;63,3632;25,5500
55,3700;3,0026;74,4600;1,5898;64,1000;30,0600
57,4940;2,9572;74,3500;1,6049;63,4263;28,6900
55,2480;3,0333;73,2500;1,6235;62,9421;27,8100
55,5160;3,0027;74,2900;1,5843;64,0895;28,6600
56,7880;2,9927;74,5100;1,5949;62,0474;29,1800
56,0300;3,0158;74,8900;1,6241;64,8842;22,9900
57,1080;2,9985;75,0600;1,5866;63,3158;26,0400
55,2820;2,9930;75,0500;1,5835;65,5579;25,7500
57,6500;2,9985;75,9000;1,5320;64,2316;28,8100
58,8560;2,9130;75,3800;1,5808;63,5105;27,3400
59,9180;2,8657;76,2500;1,5183;64,8842;34,3900
56,4220;2,9649;75,1600;1,5590;64,6368;28,7300
62,2460;2,7719;75,8100;1,5392;64,7737;33,0400
59,2760;2,9098;77,1000;1,5220;65,6842;27,7400
58,1440;2,9369;76,0300;1,5644;63,8579;26,9000
60,2180;2,8698;76,5300;1,5240;67,0316;29,6500
60,0100;2,9325;76,3600;1,5266;66,4158;29,9500
61,9660;2,8839;76,9800;1,5302;65,9474;28,1500
57,8760;2,9311;76,9400;1,5376;65,6579;27,6100
57,8400;2,9664;77,5000;1,5118;67,8105;29,3500
60,2080;2,8817;77,4000;1,4932;66,6000;30,0900
57,5620;2,9453;77,5200;1,4914;67,2684;30,0300
60,6020;2,8837;78,1000;1,4852;68,1316;31,4100
60,3720;2,8698;77,7100;1,5029;68,2526;32,7000
60,8480;2,9370;78,0100;1,5241;67,8211;27,7100
60,6380;2,8908;77,9900;1,4869;67,8474;30,9500
61,2980;2,8600;78,4600;1,4753;68,3211;31,9200
61,9780;2,8467;78,3400;1,4787;68,5895;32,1300
62,3320;2,8868;78,3000;1,4692;67,6263;31,9800
59,9580;2,9372;78,6400;1,5068;68,5211;28,2900
64,8080;2,7687;78,5600;1,4812;69,0105;28,7800
62,1420;2,8457;78,4800;1,4834;68,4842;29,9200
63,2340;2,8117;78,4500;1,4616;67,6368;33,7100
63,7940;2,7939;78,7200;1,5173;68,2158;28,2800
64,8300;2,7755;78,6100;1,4671;67,8895;32,7000
62,9200;2,8200;78,9400;1,4460;68,0474;33,7900
63,0120;2,7796;78,6300;1,4642;67,9368;31,1500
64,4920;2,7387;78,5800;1,4745;69,0737;30,2300
64,4060;2,8452;79,0700;1,4728;68,4632;29,7600
63,9580;2,7869;79,2300;1,4558;69,2211;31,3800
65,7700;2,7564;78,9800;1,4531;68,4474;31,1900
64,0480;2,7823;78,8600;1,4728;69,0158;31,9700
59,8800;2,8874;78,8800;1,4854;68,4947;29,5400
65,3500;2,6656;78,8800;1,4481;68,3263;32,7000
61,4100;2,8107;79,2000;1,4412;68,5579;33,6100
65,3480;2,7898;79,0100;1,4451;69,0895;31,3700
47,7380;3,2613;66,4500;1,8580;55,1158;25,6200
48,4860;3,1824;65,1100;1,8709;53,6158;25,2100
48,9120;3,1566;65,1000;1,8976;54,0421;26,2200
47,7260;3,2436;66,8200;1,8165;57,2368;25,3700
47,3800;3,2262;66,2800;1,8468;58,3789;22,5700
48,3060;3,1597;68,5900;1,8363;57,2789;20,8100
48,5580;3,1444;69,0800;1,7574;57,6842;25,2100
49,3720;3,1067;67,0100;1,8458;56,5579;27,9600
50,1100;3,2092;69,4000;1,7523;59,9211;27,1000
49,3680;3,1444;68,7500;1,7998;60,5947;21,9400
49,9180;3,1675;69,6800;1,7512;60,9421;28,0800
50,1720;3,1608;68,8600;1,7639;57,1737;27,9600
49,2040;3,1355;68,8400;1,7786;58,3105;23,2500
49,6620;3,1610;67,6700;1,8126;56,9421;27,7100
49,3720;3,1644;69,1100;1,7727;58,6158;23,1400
49,5940;3,1642;70,4800;1,7197;60,8526;26,3300
49,8260;3,1294;69,6200;1,7443;61,1421;25,8100
47,1120;3,1805;70,1100;1,7177;59,0000;26,2800
51,4340;3,1674;69,3800;1,7735;61,7368;22,8700
49,6940;3,1453;69,4600;1,7552;56,2947;24,5000
50,7700;3,1250;69,3900;1,7374;59,9526;26,6500
50,1560;3,1514;70,1700;1,7253;56,7947;28,9600
51,0100;3,1274;70,5700;1,7284;58,8053;22,8900
50,7860;3,1113;68,0600;1,7832;56,8737;24,1000
50,6080;3,1394;70,2800;1,7124;60,1526;25,0600
49,9440;3,1535;70,6800;1,7506;57,5368;20,5200
50,8300;3,1333;71,2300;1,7369;58,7526;22,0600
50,6000;3,1844;69,1200;1,7708;56,3474;27,1300
50,1220;3,1296;70,8800;1,7207;61,1684;24,9100
50,7980;3,1220;68,4500;1,7966;58,0474;22,6000
51,9740;3,1106;70,6200;1,7133;60,4158;26,6000
50,6740;3,0950;68,4300;1,7808;56,7158;24,7700
51,1240;3,1328;70,0300;1,7392;58,8632;23,1500
52,2860;3,1216;70,7700;1,7029;61,1421;23,5000
51,6060;3,1736;71,7000;1,6891;60,9421;25,9300
53,5040;3,0776;69,4000;1,7357;58,0842;26,8100
51,9660;3,1876;71,0300;1,7514;59,7211;22,1800
53,2900;3,0238;68,1600;1,8141;58,0105;23,3800
54,4860;3,0616;70,9600;1,7652;59,3842;21,3200
51,8560;3,0846;69,9300;1,7508;59,2632;25,6700
52,3240;3,1846;71,9500;1,6961;59,7737;23,3100
49,9240;3,1321;69,6300;1,7758;58,2474;22,9100
51,1620;3,1473;70,3100;1,7241;60,5316;25,0800
51,1820;3,1535;70,4300;1,7237;60,5105;23,7800
52,3780;3,0949;71,4000;1,6837;58,9632;28,7200
53,3900;3,0643;71,6100;1,7148;60,9368;23,2700
52,0860;3,1484;72,3700;1,6632;61,7895;25,9700
53,1280;3,0957;72,2000;1,6997;61,3158;22,0900
52,7660;3,1231;70,6000;1,7347;59,4158;24,8700
51,5700;3,1209;71,2100;1,7572;59,8684;20,9000
53,6520;3,0603;70,6500;1,7613;59,9474;20,3500
52,6280;3,1064;69,9300;1,7213;58,0053;27,2400
55,0600;3,0201;70,7400;1,7093;60,4368;24,1200
54,3120;3,0397;70,0600;1,7615;61,0263;23,8600
56,1120;2,9749;70,9300;1,7369;61,8895;22,9900
51,4600;3,1098;72,9200;1,6449;60,8105;27,5400
56,6280;3,0003;71,6900;1,6758;61,6526;26,5500
52,7860;3,1013;72,0500;1,6647;61,5263;27,2400
52,2680;3,1060;71,8900;1,6743;60,7421;26,3300
51,8560;3,0425;71,9400;1,6572;62,3000;29,3500
53,4840;3,0834;73,6600;1,5980;63,6579;28,3300
55,3720;3,0522;72,3000;1,6583;62,3842;24,4800
56,0260;3,0183;73,0000;1,6380;65,2421;27,2500
52,0480;3,0547;71,9200;1,6923;59,6263;22,3500
53,3500;3,0827;71,8800;1,6550;62,2368;25,1500
54,1020;3,0137;73,3200;1,6321;62,7000;27,6500
55,9880;2,9750;72,7500;1,6400;60,1737;30,6200
52,4540;3,0756;72,5900;1,6598;59,7263;25,8300
53,4480;3,0707;73,2400;1,6457;60,8737;26,8400
54,0860;3,0115;73,4900;1,6972;61,9263;21,9500
54,2640;2,9755;73,0500;1,6370;63,6000;29,3100
