train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
4,7300;4,4361;8,7300;4,0563;10,3158;6,4800
8,1460;4,2908;12,4900;3,8735;10,2684;7,5200
10,6780;4,2145;15,9700;3,7320;14,9895;7,2700
13,4440;4,1224;19,0000;3,5453;21,3211;8,5200
15,7120;4,0275;26,1800;3,2385;26,6368;8,5300
19,3380;3,9266;28,8000;3,1576;27,8684;9,6400
20,8540;3,8713;30,2600;3,1223;30,7105;9,0900
22,2800;3,8046;34,4400;2,9381;30,3211;8,8300
23,5300;3,7753;36,2600;2,9051;33,5947;9,4100
26,0280;3,7131;40,0800;2,7320;35,0105;10,4900
28,2120;3,6387;43,1300;2,6191;39,0316;10,2500
29,0460;3,6761;45,0100;2,6008;39,0474;9,8000
32,6460;3,5483;43,4900;2,5776;38,1158;12,4700
32,3080;3,5407;47,6100;2,4674;41,5895;14,1500
33,8100;3,4727;49,9000;2,3663;43,4000;13,5700
36,0920;3,4198;52,1500;2,3034;45,0053;14,5600
37,5840;3,4299;53,5700;2,2644;46,2526;17,3500
37,0460;3,4389;54,6400;2,2346;45,6842;13,7100
38,1160;3,3474;56,1300;2,1782;47,9842;15,7800
39,5920;3,3462;56,6300;2,1820;48,6263;13,6400
39,0840;3,3469;58,2800;2,1134;48,9263;15,5700
41,6120;3,3426;58,8500;2,0907;49,2579;15,4800
41,1140;3,3448;59,2300;2,0645;50,2684;17,2700
42,8980;3,2077;59,5000;2,0731;49,3789;15,8100
42,6400;3,2679;59,6500;2,0674;49,6368;16,0100
33,2500;3,5636;43,8600;2,5904;37,1000;13,0000
33,0920;3,5025;50,2800;2,3749;41,8105;13,2900
35,9600;3,4384;49,1400;2,3951;43,4421;15,2000
36,3420;3,4402;52,3000;2,3206;43,1842;18,1200
35,4740;3,4648;52,4200;2,3040;43,8105;15,4800
37,8060;3,3974;54,8600;2,2221;45,7579;20,5400
39,6240;3,3576;55,6200;2,1874;43,7789;16,1100
39,0780;3,3063;56,3400;2,1957;45,7368;23,5900
40,9540;3,2919;55,6700;2,1989;42,9842;17,9200
40,5440;3,3031;55,9600;2,1934;47,0842;17,1400
41,0180;3,3223;59,8800;2,0707;49,5895;16,4100
41,6440;3,2737;59,5900;2,0521;49,1526;19,5000
41,9360;3,2680;58,3800;2,0972;46,8211;17,9200
45,5420;3,1823;59,7800;2,0836;51,7053;23,7800
45,1940;3,2120;60,3700;2,0242;50,6684;23,7100
46,4620;3,1846;60,3200;2,0486;48,9053;17,7600
46,6080;3,0976;63,0900;1,9422;50,7842;22,9700
46,9640;3,1910;62,3500;2,0727;50,9211;13,0200
46,6160;3,1430;64,3300;1,9037;53,3842;25,7300
46,9260;3,1758;65,5100;1,8587;55,0737;24,4100
47,6540;3,1221;65,2700;1,8833;54,0421;23,1400
50,2740;3,0407;65,6500;1,8747;53,4947;25,2200
47,4420;3,1534;66,9600;1,8129;54,8947;21,7300
49,5220;3,1230;65,8800;1,8586;53,8632;21,8600
47,7780;3,1567;67,8300;1,7935;56,0368;29,3100
49,6260;3,0514;67,0700;1,8132;54,3632;25,8200
51,7500;3,0525;68,0200;1,7875;56,6105;28,1000
53,5020;2,9784;68,1900;1,7714;55,9789;28,7200
51,9600;3,0117;68,4200;1,7658;57,9158;30,8200
53,3580;2,9709;69,3900;1,7357;58,5105;25,2900
54,0120;2,9831;69,8200;1,7285;58,4684;27,6600
52,1220;2,9785;70,3200;1,7033;57,9316;29,1400
55,0780;2,8796;70,6600;1,7121;57,3737;26,9200
52,6700;3,0198;70,5300;1,7076;58,1474;31,6300
53,3600;2,9523;70,6600;1,7043;59,0211;27,3900
53,0360;2,9498;71,2700;1,6800;58,2158;30,8400
55,2300;2,9743;71,5200;1,6654;58,4579;29,5500
54,8020;2,9650;72,2900;1,6593;59,7316;29,5900
55,2480;2,9312;72,4600;1,6428;58,9263;28,9000
56,8900;2,9118;72,3500;1,6406;60,1947;30,0600
56,1660;2,9073;72,7600;1,6380;60,1211;28,5800
57,0220;2,8905;72,9100;1,6302;59,1263;27,5700
56,6660;2,8846;73,2200;1,6168;60,3316;29,9100
56,2600;2,8775;73,2000;1,6176;60,1789;30,9100
56,9660;2,9068;73,4200;1,6188;61,1632;27,1400
58,5940;2,8357;73,3100;1,6082;60,0947;31,5000
61,1760;2,7353;73,7700;1,6048;60,6158;30,1800
57,2200;2,8772;73,5400;1,6100;61,0579;30,3400
59,2860;2,8486;73,5800;1,6023;60,6211;30,6500
59,6440;2,9027;73,4800;1,6063;60,5474;30,1400
46,8500;3,1491;63,0500;1,9593;51,5211;21,1300
47,8140;3,2033;65,7400;1,8709;53,8632;26,7400
49,0060;3,0735;65,6300;1,8603;55,7684;25,9800
47,8180;3,1403;65,3800;1,8755;54,0632;28,2100
48,4800;3,1394;65,8700;1,8488;54,7737;24,4100
47,7100;3,1103;66,6000;1,8439;54,3842;28,2200
46,1620;3,2105;65,2600;1,9097;53,5105;18,0100
48,1200;3,1399;67,0300;1,8274;54,1684;25,7800
52,1980;2,9883;66,8300;1,8164;54,1579;23,0000
48,3740;3,1222;68,2900;1,7828;54,7316;30,6600
51,0860;3,1136;66,6200;1,8427;53,7842;21,9200
50,3180;3,1404;67,3700;1,8153;54,4263;21,0300
52,9700;3,0625;67,9600;1,7911;54,8737;22,5800
52,3240;3,0048;68,3700;1,7717;57,1421;27,7000
51,6760;2,9918;69,4100;1,7537;58,2368;23,3900
51,6140;3,0544;68,7000;1,7458;59,0421;30,6300
50,6540;3,0684;66,7400;1,8292;53,7000;21,7400
51,9660;2,9833;70,1600;1,7232;59,8895;31,9800
54,6340;2,8966;69,9400;1,7330;57,0737;23,1700
53,3580;2,9725;68,6500;1,7690;54,2737;23,6700
55,5000;2,9109;70,3100;1,7215;55,2211;31,0800
54,6180;2,9759;70,7800;1,6975;56,3368;27,0000
56,3480;2,8588;71,1400;1,6887;58,4263;31,7000
55,2220;2,9402;71,0700;1,7090;56,9368;22,9400
51,4500;3,0242;71,4000;1,6868;57,1368;25,7400
54,6600;2,9774;71,5600;1,6564;59,3632;31,6800
54,5440;2,9238;71,5400;1,6659;58,6842;29,5600
55,3740;2,9298;71,0300;1,7021;57,5158;26,6500
