train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
5,0380;4,4464;7,8800;4,1123;7,6526;5,4500
7,9560;4,3264;13,1800;3,8920;12,9789;6,7100
10,4340;4,2465;16,5900;3,6670;13,6158;8,3500
13,6920;4,1568;19,5200;3,5971;18,1789;9,5900
14,1480;4,1391;23,9800;3,3546;25,9684;8,8800
16,6160;4,0446;27,2100;3,2440;26,2842;8,5400
19,6800;3,9686;28,1500;3,1997;24,9737;9,0000
22,0720;3,8835;30,1700;3,1128;29,4368;10,6300
22,4160;3,9037;35,5600;2,9004;31,1263;9,0400
26,1080;3,7334;40,0600;2,7142;35,2421;11,1800
28,1000;3,7556;40,8600;2,7139;36,1263;11,8800
28,5760;3,7134;43,5500;2,6017;36,0158;12,2900
30,8840;3,6313;44,4500;2,5546;38,6474;11,2100
34,0040;3,5223;48,1700;2,4357;40,2316;12,0800
36,1680;3,5422;47,0900;2,4822;40,2211;15,4200
36,3160;3,5193;51,9000;2,4232;45,3842;8,8400
38,9620;3,4454;54,4700;2,2294;44,5105;15,1300
38,2060;3,5172;54,0600;2,2383;46,2526;13,8500
39,0620;3,4521;57,1800;2,1454;49,2316;14,2100
38,2900;3,4736;56,3500;2,2139;49,5737;11,9700
40,3960;3,4905;57,6200;2,1130;49,3895;15,5200
41,0840;3,3341;58,2600;2,1079;49,8158;13,3600
40,7240;3,3937;59,3300;2,0865;51,1579;14,2600
40,5160;3,3933;59,3100;2,1204;50,9895;12,1600
41,7400;3,3938;59,6500;2,0884;51,0368;12,7500
31,4180;3,6025;48,9500;2,4191;39,6105;14,4600
31,6520;3,6789;46,6300;2,5458;40,1789;10,1600
32,0400;3,6089;51,4300;2,3489;45,8895;13,2800
34,3000;3,5579;47,1800;2,5065;39,7632;13,8700
35,0720;3,5624;52,3800;2,2901;46,3263;17,4100
37,1480;3,4748;52,1200;2,3114;43,8158;15,0200
39,3480;3,4119;55,2300;2,1963;46,9842;16,9700
41,1000;3,3904;59,2000;2,0586;49,7263;20,6400
37,3940;3,3933;57,8800;2,1111;49,6000;21,5500
39,8740;3,4059;56,7600;2,1271;46,9947;19,5100
40,5100;3,3630;59,4500;2,0529;51,9263;24,6000
40,5580;3,3975;59,6300;2,0642;48,9947;20,4800
45,0220;3,2562;60,2100;2,0251;49,7316;22,1300
43,2260;3,4014;61,3300;1,9855;52,1368;19,7300
44,6180;3,3446;62,5200;1,9935;49,9368;18,1000
42,7060;3,2656;62,7600;1,9392;51,7895;21,7800
45,4560;3,2911;63,7400;1,9367;53,7526;18,1600
45,9200;3,2534;64,6900;1,9353;54,6842;16,0700
46,6940;3,2403;64,4100;1,8856;53,6000;24,9100
48,7540;3,1749;65,8600;1,8506;54,6474;24,1600
46,8700;3,2111;65,5900;1,8733;53,0579;19,3900
47,4600;3,2652;65,5700;1,8508;54,3789;25,2600
48,1900;3,1861;66,5200;1,8269;55,3105;23,8400
49,7400;3,1229;66,7600;1,8108;58,2895;24,3100
51,2740;3,0622;66,8700;1,8349;56,7684;27,1300
50,7560;3,0714;67,8000;1,7970;56,0105;22,6600
49,3280;3,1777;68,0700;1,8113;57,0368;20,8000
50,8060;3,1260;69,6100;1,7336;59,4211;31,3200
52,5660;3,0938;69,5100;1,7205;59,1579;28,1400
52,4160;3,0558;68,2800;1,8047;56,4895;19,3500
55,6800;3,0898;69,9800;1,7318;57,4211;22,1200
49,1880;3,1248;70,0400;1,7463;58,0895;19,7500
52,5320;3,0931;70,2300;1,6986;58,6579;28,2200
54,7460;3,0540;70,9200;1,6683;59,2684;29,6400
54,2120;3,1290;71,9200;1,6535;60,4158;26,2200
51,2940;3,1851;71,3000;1,7614;61,2579;18,8800
53,0540;3,1203;71,3900;1,7084;59,6632;21,1800
55,4960;3,0438;72,4300;1,6520;61,1368;23,6200
56,9000;2,9603;72,2600;1,6365;61,0368;29,2400
57,0360;3,0553;72,3800;1,6319;60,1737;27,0800
55,2220;3,0565;72,9500;1,6447;60,9947;24,1600
57,9080;3,0224;72,8500;1,6624;60,9368;22,6400
57,2120;2,9361;72,8400;1,6196;62,2105;28,8200
57,1240;2,9949;73,5700;1,6239;61,8947;25,2600
62,1680;2,8302;73,5300;1,6040;62,1737;27,3500
56,0200;2,9699;73,4000;1,6198;62,2789;25,5200
56,4300;2,9489;73,7000;1,6126;62,4474;26,1500
55,9340;2,9993;73,7800;1,6066;62,5737;25,9100
59,2840;2,9240;73,5800;1,6169;62,5684;25,7600
57,1520;2,9073;73,4200;1,6173;62,7474;26,8600
49,2540;3,1011;65,2900;1,9033;53,1789;19,7700
44,5480;3,2277;64,2600;1,9253;51,1105;17,6300
48,0060;3,2302;62,1400;1,9701;50,0895;20,5500
48,1580;3,2022;66,3600;1,8314;55,7000;22,7900
48,8640;3,2374;63,4700;1,9338;50,8211;20,7800
50,2440;3,2169;65,9800;1,8328;55,8895;24,5000
45,7400;3,3105;66,8800;1,8134;55,8263;22,4500
51,8980;3,2005;59,7000;2,1443;49,8158;14,8600
48,6220;3,1573;67,4200;1,8045;56,0000;27,5500
50,6400;3,1453;68,6200;1,7606;56,3842;32,5500
50,3720;3,1570;67,6600;1,8116;57,1053;20,5300
52,5900;3,0257;67,8200;1,7865;56,2526;25,6800
51,2780;3,1379;68,9400;1,7609;57,3474;26,2300
52,6560;3,0866;67,6400;1,8422;53,4316;18,0700
50,7980;3,1383;68,6400;1,7553;55,8316;24,0300
48,2600;3,1686;68,6600;1,7487;56,0211;24,9200
51,9420;3,1189;69,2900;1,7221;57,5632;26,6000
50,8100;3,1157;69,4700;1,7342;58,0421;26,1100
52,6120;3,0534;69,7100;1,7415;57,3789;21,7700
53,5840;3,0171;69,3700;1,7344;53,9368;23,4300
50,4100;3,1275;70,6000;1,7080;55,9895;23,2100
52,1180;3,1313;69,7100;1,7775;56,6316;18,7600
49,6840;3,2036;70,3100;1,7685;57,8421;18,1400
49,5340;3,0868;70,6600;1,7081;58,6737;23,8300
53,0680;3,0665;68,9300;1,8236;57,7211;18,1000
52,7020;3,1054;71,2600;1,6915;61,2158;22,2100
54,2840;3,0823;71,6200;1,6852;59,8053;24,2400
51,3560;3,2164;72,0300;1,6587;58,8579;27,9100
55,3280;2,9955;72,1000;1,6521;61,0105;27,1600
55,3660;3,0144;72,4700;1,6281;59,8737;34,4100
56,4680;2,9538;72,2400;1,6401;60,7105;30,2100
56,0740;2,9984;73,0300;1,6124;59,8789;30,2700
53,7120;3,0701;72,1100;1,6609;59,3368;25,1200
58,2900;2,9257;73,0500;1,6249;58,3158;27,8800
59,4920;2,9047;72,4700;1,6591;58,6842;25,2000
53,5260;3,0110;71,5500;1,6670;60,9316;25,4200
55,0220;3,0249;72,9900;1,6329;60,1053;25,6400
60,9340;2,9493;73,3700;1,6088;59,9421;26,8400
58,0540;2,9756;73,6700;1,6091;62,0474;31,2800
57,1420;2,9749;74,5900;1,5926;60,3842;25,3700
55,5860;2,9799;73,1100;1,6305;62,0789;27,1900
53,4540;3,0358;74,7200;1,5909;63,6737;27,5000
58,7460;2,9776;74,6200;1,6192;62,1316;23,0400
57,1320;3,0045;74,5000;1,5953;63,5737;25,0900
57,4340;2,9832;73,2200;1,7340;60,9316;19,5700
58,3020;2,9439;75,2200;1,5510;63,9105;33,4000
