train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
5,1180;4,5029;9,2700;4,1855;11,5263;6,2200
7,7813;4,4310;12,3400;4,1079;12,0053;8,4900
10,6000;4,3634;15,6400;4,0233;15,1526;9,3600
13,8293;4,2990;22,4800;3,7719;24,3684;11,2800
15,9767;4,2498;25,9300;3,6989;27,4105;11,8300
18,4847;4,1999;29,5800;3,4371;30,9368;12,6600
20,8573;4,1324;34,9900;3,4249;33,7842;12,0400
22,9367;4,1090;34,2200;3,5404;34,9053;12,1600
25,2433;4,0452;36,8700;3,3729;37,7526;13,0100
26,9480;4,0143;42,3200;3,2005;35,9895;12,4400
28,4440;3,9804;40,2600;3,2840;37,3158;12,0300
29,6953;3,9379;44,4000;3,0614;38,2947;12,5000
29,9353;3,9450;47,7600;3,0039;41,1421;13,9500
33,3713;3,8737;50,6700;2,8894;44,8895;12,6500
35,3360;3,8444;51,6000;2,8692;44,5474;13,1900
36,7687;3,7964;54,3700;2,7858;47,7421;12,4700
37,5153;3,7998;54,4500;2,9974;47,5053;14,0400
38,3807;3,7535;56,2700;2,7582;49,6947;14,4900
38,0627;3,7638;56,6100;2,7949;49,1789;16,1100
40,4347;3,7245;57,8200;2,6943;50,2632;14,9900
41,7727;3,6806;59,6600;2,6146;50,2474;15,0600
41,9647;3,7023;59,8300;2,6616;50,4579;15,5100
42,7560;3,6657;60,5300;2,6210;52,1737;15,7700
43,0627;3,6531;60,7000;2,6300;51,8632;16,1300
41,4013;3,6879;60,5400;2,6890;52,2474;16,2200
32,8560;3,9051;46,9300;2,9667;41,3526;13,0100
33,4973;3,8826;49,9400;2,6546;42,1000;13,4700
37,0333;3,7978;53,2800;2,7403;43,3053;13,0100
36,3687;3,8195;54,7400;2,9367;47,0368;14,2600
36,7253;3,8083;53,3700;3,0060;46,3211;13,5600
37,8000;3,7743;55,4900;2,7657;47,5526;15,7100
39,7753;3,7467;58,1700;2,7691;49,4789;14,2200
40,0167;3,7501;57,4800;2,7387;49,1158;17,0300
41,5987;3,6986;59,5400;2,5162;51,4158;15,4500
41,9993;3,7026;59,6000;2,6692;53,6158;15,3400
44,0047;3,6493;60,7600;2,7929;52,7947;17,2200
42,0167;3,6861;61,4300;2,6003;51,1474;17,1000
43,8907;3,6557;61,8600;2,6811;54,7105;17,1600
45,1847;3,6303;61,5900;2,5532;53,6842;17,1400
45,0387;3,6002;63,4100;2,5854;53,5737;15,8000
45,8553;3,6012;63,8400;2,6166;52,8474;17,4600
46,8580;3,5792;65,7100;2,3708;55,7421;16,4200
47,0620;3,5808;65,2600;2,4578;56,6421;17,3100
45,7040;3,5809;65,3200;2,4228;55,0211;16,8300
47,9247;3,5604;66,2900;2,3741;55,4211;17,7400
47,4767;3,5765;66,5700;2,4795;57,3895;18,0500
49,2200;3,5297;65,3000;2,1704;53,7579;17,2800
49,2520;3,5251;67,4400;2,4185;55,3737;18,3500
51,3840;3,4566;68,1200;2,4478;58,1684;19,4400
52,1447;3,4784;67,0000;2,4781;55,5158;18,1600
51,4893;3,4385;68,4900;2,2676;58,4684;17,7600
51,5307;3,4709;69,3900;2,3698;57,3526;18,9600
52,6100;3,4218;69,2100;2,3200;58,8421;17,9900
52,4593;3,4712;69,1800;2,2917;60,9632;18,9600
