train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
4,2020;4,4551;8,0300;4,3563;12,2474;5,2900
6,6700;4,3367;9,4500;4,0480;9,7842;6,5100
7,8060;4,2869;9,9400;4,3457;9,6211;6,9000
8,9580;4,2547;14,5600;3,7710;11,7684;6,9000
10,9160;4,1532;17,7200;3,6809;16,4053;9,4900
12,9480;4,0813;20,9300;3,5963;19,1105;8,2600
14,2340;4,0697;22,2600;3,4865;24,2632;10,4000
15,6080;4,0128;25,5000;3,3481;23,9000;9,2900
16,9200;3,9668;27,5900;3,2851;28,6895;11,2400
18,5520;3,9080;26,5300;3,3322;28,8526;11,9900
19,6220;3,8626;29,6700;3,2979;26,5895;13,0800
21,0100;3,8401;37,0800;2,8506;31,8684;11,2700
22,2840;3,7900;37,3800;2,8390;34,3789;13,2200
23,0700;3,7559;37,4800;2,8522;34,3316;14,1300
24,1800;3,7306;40,4900;2,7029;36,8105;12,8100
26,6420;3,6494;41,0600;2,6959;36,1105;12,6400
26,1500;3,6518;41,4200;2,6864;38,7737;15,4300
26,6420;3,6181;44,6200;2,5672;38,9632;14,9500
27,8760;3,6286;47,2000;2,4714;39,8316;16,8600
28,6800;3,6050;46,5600;2,4960;40,2474;15,4200
28,8920;3,5707;47,4700;2,4565;40,5000;15,8000
33,0140;3,4576;50,1300;2,3658;41,7211;17,1500
29,4900;3,5529;50,3100;2,3577;42,2053;15,8600
30,0520;3,5537;49,6400;2,3845;41,8947;15,1500
31,1840;3,5029;49,7400;2,3927;41,9789;17,3700
22,1460;3,8162;37,0200;2,8681;34,8842;11,5500
25,5620;3,6797;36,5800;3,0168;31,7579;18,3900
25,9480;3,6857;44,4500;2,5968;37,9053;15,9700
26,6280;3,6281;42,9500;2,6819;36,9421;18,0400
26,1300;3,6777;43,4900;2,6396;39,0263;17,2500
27,9200;3,6318;45,7200;2,5219;37,5421;15,7900
29,0880;3,5703;47,3400;2,5106;41,6684;21,3400
31,2980;3,5053;48,6900;2,4616;40,5842;18,2200
30,0560;3,5664;50,5000;2,3929;44,3789;20,0200
30,1520;3,5549;50,2800;2,3686;42,8895;19,4300
32,5040;3,4812;50,6400;2,3508;43,2789;19,1300
33,1320;3,4450;52,7200;2,3055;45,6684;21,2900
33,4120;3,4713;51,8100;2,3361;47,5632;18,0900
34,2060;3,4283;55,3000;2,2049;44,6105;20,3400
34,4580;3,4106;55,5200;2,1994;45,7789;22,4100
36,5660;3,3394;54,4900;2,2357;48,7842;21,8300
35,2260;3,3808;57,3700;2,1351;47,3368;23,5300
36,6480;3,3756;56,9700;2,1717;48,1263;21,1300
35,6680;3,3890;56,1800;2,1930;48,2474;24,0500
37,8920;3,2926;57,3500;2,1612;48,4579;22,3100
37,7840;3,3206;57,2500;2,1339;48,1737;17,5000
37,9900;3,3109;60,1000;2,0678;48,6263;27,7500
39,2180;3,3052;59,1300;2,0783;48,8211;25,1000
38,4720;3,3252;60,7500;2,0551;51,1895;25,7400
38,3020;3,3451;57,8700;2,1064;47,5737;19,6300
40,8400;3,2139;63,2900;1,9506;52,8895;29,8600
38,1520;3,3174;61,7600;1,9956;50,5474;27,4300
41,4660;3,1886;62,5200;1,9737;51,7474;27,1900
42,1660;3,1762;63,0000;1,9440;53,6684;28,0500
41,5180;3,1812;63,4600;1,9490;52,3421;27,6500
42,2180;3,2507;65,0300;1,8988;53,9632;30,9500
44,3480;3,0999;65,2900;1,8873;54,1421;28,8500
43,6740;3,1757;65,0700;1,9037;55,4105;27,1700
42,6020;3,1319;65,4900;1,8761;55,1000;30,0500
41,7280;3,1956;66,4100;1,8518;55,1895;30,8000
41,4920;3,1603;66,1100;1,8673;57,6211;28,7400
45,1420;3,0794;66,5200;1,8581;54,2000;31,6700
43,0160;3,1713;64,8500;1,9018;54,3421;25,7900
43,9700;3,1289;68,2500;1,8002;56,6316;30,7700
43,6440;3,1779;67,8900;1,8059;57,2579;32,1800
45,1080;3,0902;68,2900;1,7906;56,8053;32,3600
46,1500;3,0851;68,7400;1,7803;56,8211;32,5400
44,7360;3,0817;68,5200;1,7962;57,5263;30,8000
45,4160;3,0889;68,9100;1,7894;57,6053;35,8900
45,5360;3,1049;68,2200;1,8083;57,5789;29,4900
48,3740;3,0172;69,2600;1,7633;58,3632;31,3100
49,0660;2,9818;69,5200;1,7979;58,3684;38,1400
46,1900;3,0923;69,5700;1,7753;58,4158;35,8500
44,3900;3,1136;69,3700;1,7587;57,9053;33,1800
45,5760;3,1199;69,4300;1,7583;58,3474;32,0000
37,4620;3,3323;58,7200;2,1486;50,0737;28,0000
38,6580;3,2717;57,3400;2,1282;47,3368;22,7400
36,2980;3,4075;57,6900;2,1344;45,1474;25,3600
37,3080;3,3063;62,5500;1,9915;51,2684;28,5000
38,0020;3,2902;60,8300;2,0227;49,0000;23,8800
39,0720;3,2752;60,1700;2,0858;51,0053;28,0000
39,4740;3,2565;59,8800;2,0746;49,5263;25,1200
38,2100;3,3020;60,8500;2,0253;46,3684;23,9100
41,8880;3,2231;62,0400;1,9998;48,6368;27,6900
39,2360;3,2814;64,6500;1,9116;52,3632;26,8400
39,4920;3,2632;62,6200;2,0138;51,1474;29,3500
37,8360;3,3141;60,8900;2,0155;49,4263;24,8100
40,4860;3,2377;62,2300;1,9773;50,1842;27,1200
40,8020;3,2209;64,2700;1,9078;51,9316;27,2300
40,5760;3,2346;62,6500;1,9795;52,0737;26,5900
42,8080;3,1965;64,1900;1,9313;53,9053;28,9800
42,2140;3,1680;65,8000;1,8750;53,5842;30,3000
41,3400;3,1975;64,0500;1,9376;52,4368;29,2600
42,7460;3,1793;65,1300;1,9173;51,1632;30,8500
42,6700;3,1720;64,0500;1,9158;54,0684;27,0600
40,0140;3,2451;65,6500;1,8761;54,7579;26,8600
42,0500;3,1815;65,2200;1,9154;50,4684;31,2600
42,1060;3,2105;65,4700;1,8683;55,5947;28,2800
44,1560;3,1101;65,1500;1,9007;51,7789;29,7000
43,8100;3,1620;66,5900;1,8411;54,1158;30,7100
43,8500;3,1474;64,0200;1,9212;52,1684;31,0000
44,7360;3,1110;66,2300;1,8324;53,6211;25,9300
43,1740;3,1291;67,5100;1,8117;54,7842;32,6300
42,1800;3,2064;66,7900;1,8359;54,5947;30,4400
45,2700;3,0652;67,7000;1,8031;53,8632;31,7800
43,8540;3,1410;67,5800;1,8111;55,1526;34,4700
45,3500;3,0868;69,7600;1,7586;56,8789;32,9500
44,9760;3,1634;63,8300;1,9398;51,9632;24,3600
44,9700;3,1261;67,2200;1,8361;53,5474;32,7900
48,4000;2,9983;70,0600;1,7553;56,4842;34,4300
44,2800;3,1043;68,0600;1,7914;55,5368;33,5000
48,6260;3,0209;67,8500;1,8199;55,6316;34,7500
47,2660;3,0239;69,5700;1,7675;56,2947;36,1300
47,5920;2,9959;69,4500;1,7641;56,4737;31,8500
47,1320;3,0193;70,0300;1,7323;55,6526;33,2400
46,6480;3,0519;70,1100;1,7663;56,0684;38,5900
46,6280;3,0445;69,7400;1,7569;56,3579;25,9000
45,5080;3,0397;69,8800;1,7392;58,6053;31,4300
48,6820;3,0077;71,3500;1,7106;58,7579;37,3100
46,9980;3,0675;69,6500;1,7798;56,0842;37,5300
48,2360;3,0238;70,3300;1,7397;56,9684;32,1800
48,1160;2,9928;69,8100;1,8146;53,5895;40,0300
46,4620;3,0539;70,6200;1,6951;55,3158;33,2800
48,0720;3,0721;70,1000;1,7312;56,3737;36,1600
48,0100;3,0015;71,0300;1,6990;60,4421;33,7500
47,1060;3,0244;71,0900;1,6950;59,0895;33,3800
47,6220;3,0030;70,3000;1,7395;57,5737;36,1600
49,4220;2,9234;71,8900;1,6818;58,6474;37,0800
47,5020;3,0285;71,1000;1,7509;57,4053;39,2200
48,7760;2,9863;71,4300;1,6681;59,5421;32,2400
50,1940;2,9645;72,3200;1,6587;57,3316;33,3200
51,9400;2,8799;72,0800;1,6800;60,7105;36,7800
47,6480;3,0170;72,2100;1,6764;57,6053;37,3900
49,8800;2,9428;73,1600;1,6464;59,6632;38,1100
49,1740;2,9529;73,1500;1,6504;60,4737;39,0200
51,5720;2,8372;74,0200;1,6114;59,9158;37,3000
53,3680;2,9040;73,3400;1,6313;60,8895;35,5100
52,0400;2,8462;73,9000;1,6173;61,0421;40,4200
47,8460;3,0291;73,8400;1,6174;60,7158;38,2100
53,4660;2,8400;73,8400;1,6449;60,1368;41,8900
49,4820;2,9617;73,8600;1,6027;60,8737;34,1100
51,1080;2,9102;74,2700;1,6184;60,9211;39,8800
50,9660;2,9149;73,9300;1,6130;60,8263;39,8200
55,3280;2,8311;75,3200;1,5788;60,6579;40,2700
53,2260;2,8779;74,8600;1,5917;61,0632;40,5800
54,1980;2,8463;74,1100;1,6239;59,8737;37,2900
52,6060;2,8730;75,4700;1,5728;62,2842;41,5100
53,0300;2,9167;74,4200;1,6119;60,7737;40,4800
52,4580;2,8613;75,3400;1,5751;62,4316;37,5900
53,7160;2,8009;75,1100;1,5787;60,9842;40,4900
53,1260;2,8127;75,6500;1,5748;62,9526;42,4900
55,4520;2,8155;75,3200;1,5792;62,5526;40,3200
55,6440;2,7815;76,1000;1,5628;63,2316;44,1000
53,0960;2,8480;75,8200;1,5780;62,6632;42,6900
53,9320;2,7961;76,0600;1,5548;62,3632;41,5600
55,9260;2,7968;75,7100;1,5682;61,9632;41,5500
54,6600;2,8394;75,3100;1,5796;62,5421;41,0700
55,9540;2,7780;75,7900;1,5561;62,6158;40,2700
55,9160;2,7910;76,2500;1,5388;63,1421;40,0000
56,0640;2,7790;76,3200;1,5431;63,8053;41,5300
52,1740;2,8932;76,2100;1,5340;63,5316;39,7400
54,9480;2,7905;75,8800;1,6033;62,5947;46,0100
54,2940;2,7765;76,3500;1,5434;63,8053;43,0600
56,3940;2,7487;74,9000;1,6128;62,4000;42,4200
56,0860;2,7562;76,3500;1,5554;63,5947;42,6300
57,1260;2,7346;76,7900;1,5118;63,8684;38,5700
57,0320;2,7425;76,4300;1,5427;63,7421;43,4100
56,1400;2,7372;76,5700;1,5320;63,5211;43,5100
55,2380;2,7932;76,2800;1,5478;63,4000;41,4600
54,6860;2,8205;76,3400;1,5409;63,3579;40,8100
56,7360;2,6862;76,8500;1,5314;63,7632;44,4900
54,4760;2,8550;76,5900;1,5261;63,5105;41,0900
57,1400;2,7383;76,9300;1,5288;64,1263;43,6100
56,7820;2,7933;76,6900;1,5286;63,7263;42,1200
55,7420;2,7603;76,0800;1,5449;63,9000;41,2200
45,6180;3,1045;67,0800;1,8269;54,3053;29,2300
46,0820;3,0677;67,2000;1,8023;53,9737;30,0900
44,7140;3,1295;64,6500;2,0219;52,7526;37,2900
45,3780;3,0827;68,1700;1,7890;55,1789;29,2400
