train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
5,7300;4,3683;9,6200;4,0735;10,3655;6,6800
9,6780;4,1789;14,6100;3,7921;14,3483;8,2000
12,4500;4,0685;21,2900;3,4914;22,6034;7,8700
15,6320;3,9452;25,3200;3,2927;24,3793;8,1600
18,7720;3,8465;31,8200;3,0568;27,7793;9,3600
21,7820;3,7160;31,4000;3,1141;29,4552;12,1700
24,3120;3,6298;35,2500;2,8992;31,7345;9,8200
27,2300;3,5320;40,3100;2,7133;35,3241;12,5300
27,9960;3,5222;42,9900;2,6421;39,3207;13,7700
29,8560;3,4434;43,3600;2,6293;35,1759;16,0100
30,2620;3,3965;47,8100;2,4683;39,2483;17,0100
31,8700;3,3576;47,9500;2,4950;39,6345;19,0000
33,2700;3,2896;49,9900;2,3981;41,9448;18,3500
33,7780;3,2930;51,9700;2,3313;44,7724;19,1500
36,8440;3,1963;52,2300;2,3429;41,7690;22,5000
36,7860;3,2221;55,5100;2,2485;41,4241;23,5500
39,1440;3,1547;57,2300;2,1376;45,0931;19,0500
40,1980;3,0985;57,2300;2,1655;44,5828;23,3200
40,8680;3,1207;58,4100;2,1185;47,2310;24,0800
42,3480;3,0218;61,0700;2,0764;47,2138;29,7900
43,5120;2,9392;61,0700;2,0662;47,9103;29,3400
43,0300;2,9940;62,0000;2,0241;47,2862;27,6100
43,8500;2,9938;62,8400;1,9997;49,9828;30,3300
45,1380;2,9656;62,5600;2,0372;49,4276;32,6400
45,5780;2,9763;63,7600;1,9425;50,7241;28,6800
45,7780;2,9510;63,9000;1,9613;50,6931;31,6900
44,2960;2,9656;64,8300;1,9234;50,7276;29,7800
47,0800;2,9564;64,8400;1,9275;50,7621;31,5200
48,6500;2,8002;65,3000;1,9063;50,8828;31,0000
46,4580;2,9145;64,9400;1,9033;50,5931;30,2600
39,1220;3,1688;53,8600;2,3883;42,6759;26,3200
38,4300;3,1683;55,6000;2,2355;43,7310;25,3000
40,2740;3,0495;55,7800;2,2425;43,2759;25,8500
38,7300;3,1364;56,9000;2,1842;42,5483;25,9700
41,1160;3,0912;58,6400;2,0963;46,1310;22,4200
41,4780;3,0348;58,5700;2,1194;44,7724;23,1700
42,3220;2,9782;61,3400;2,0534;47,7172;31,3400
41,6240;3,0941;60,8800;2,0372;45,3310;27,1800
41,3660;3,0765;60,7500;2,0616;48,9897;30,1000
45,0760;2,9770;62,0100;2,0295;50,9138;30,1800
45,9960;2,8870;63,2000;2,0116;50,7172;33,7500
43,7040;3,0429;62,5800;2,0003;47,5172;29,7300
43,8680;2,9979;63,4900;2,0156;50,8069;36,9300
45,5840;2,9396;64,2800;1,9736;49,0517;34,8800
44,1860;3,0166;66,1800;1,8775;53,2241;32,8300
46,2760;2,9051;66,7500;1,9240;50,3931;37,5000
46,6060;2,9259;65,4900;1,9262;52,3276;34,7600
48,4280;2,8251;65,7200;1,9154;51,7621;32,0100
45,6380;2,9734;67,4600;1,8623;52,7069;35,7800
51,2760;2,7024;66,3700;1,8885;51,9207;34,5600
49,1560;2,8227;67,8200;1,8459;51,4759;35,0000
47,9080;2,9021;68,7600;1,8097;53,4897;36,4500
49,5180;2,8176;68,8400;1,8020;54,4414;36,7300
51,2840;2,7555;69,7600;1,7813;54,8241;37,9500
51,2420;2,7167;69,9000;1,8133;55,1966;41,1800
52,5080;2,7058;69,9100;1,7875;54,4655;40,5700
50,8940;2,7761;70,9000;1,7393;54,5552;37,6500
51,4900;2,7879;69,8300;1,7456;52,5793;37,8400
53,2460;2,7017;70,6400;1,7285;55,3000;37,4200
51,9520;2,7458;70,6600;1,7388;55,0000;38,7500
53,0780;2,7029;71,4700;1,7272;55,2931;40,5200
