train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
9,9540;4,2807;15,9500;3,8520;12,9724;8,8800;15,9500;12,9724;8,8800
20,7360;3,9437;30,0500;3,4120;29,6034;10,8600;30,0500;29,6034;10,8600
29,2433;3,6971;37,1700;3,1372;32,9828;10,2500;37,1700;32,9828;10,2500
35,6720;3,5077;44,9200;2,9229;38,8724;10,0500;44,9200;38,8724;10,0500
40,3987;3,3783;48,6100;2,7575;39,4483;11,1800;48,6100;39,4483;11,1800
43,7987;3,2694;54,1900;2,6055;45,5931;12,3300;54,1900;45,5931;12,3300
47,4027;3,1769;56,4300;2,6047;45,7931;11,8400;56,4300;45,7931;11,8400
49,9067;3,1055;56,8100;2,5203;47,2655;12,8400;56,8100;47,2655;12,8400
52,0960;3,0376;61,1200;2,3430;51,5828;13,4400;61,1200;51,5828;13,4400
54,1833;2,9773;62,2100;2,3195;50,8724;13,6900;62,2100;50,8724;13,6900
55,9640;2,9231;63,4400;2,2681;50,9276;13,2900;63,4400;50,9276;13,2900
57,8947;2,8688;64,5200;2,2563;51,3034;13,9400;64,5200;51,3034;13,9400
59,3967;2,8213;64,1100;2,2635;52,2310;12,8300;64,1100;52,2310;12,8300
60,9533;2,7778;66,6400;2,1892;55,0310;14,7100;66,6400;55,0310;14,7100
62,5100;2,7320;67,0300;2,1635;56,2828;14,8400;67,0300;56,2828;14,8400
63,6873;2,6951;68,4700;2,1357;55,6138;15,2900;68,4700;55,6138;15,2900
65,1860;2,6481;68,5100;2,0814;56,2655;15,6500;68,5100;56,2655;15,6500
66,4693;2,6069;69,6500;2,0910;56,8759;15,5500;69,6500;56,8759;15,5500
67,6787;2,5709;70,5000;2,0398;56,2207;15,1500;70,5000;56,2207;15,1500
68,7313;2,5379;70,9000;2,0435;57,4862;15,5100;70,9000;57,4862;15,5100
70,0147;2,5012;71,5400;1,9911;57,9034;16,8800;71,5400;57,9034;16,8800
71,1140;2,4716;72,2300;1,9525;58,8931;16,7600;72,2300;58,8931;16,7600
71,9613;2,4432;72,1800;1,9502;58,8586;16,4200;72,1800;58,8586;16,4200
73,0060;2,4141;72,4300;1,9615;60,1724;16,9500;72,4300;60,1724;16,9500
73,6207;2,3888;72,6700;1,9571;58,9655;16,6800;72,6700;58,9655;16,6800
74,4480;2,3640;73,3400;1,9227;59,4000;16,5100;73,3400;59,4000;16,5100
74,7587;2,3496;73,5400;1,9088;60,1621;16,7000;73,5400;60,1621;16,7000
75,3620;2,3366;73,6700;1,9159;60,1517;16,8300;73,6700;60,1517;16,8300
75,9880;2,3200;73,9500;1,9026;59,8862;16,8900;73,9500;59,8862;16,8900
75,9480;2,3174;73,9100;1,8920;60,1172;16,6300;73,9100;60,1172;16,6300
62,2613;2,7240;64,6700;2,2425;51,0069;14,3800;64,6700;51,0069;14,3800
62,2200;2,7276;66,4000;2,1648;54,3517;15,1100;66,4000;54,3517;15,1100
62,9000;2,7061;67,5400;2,1459;55,3517;15,6900;67,5400;55,3517;15,6900
63,6080;2,6888;67,1600;2,1131;52,5414;15,8100;67,1600;52,5414;15,8100
64,5820;2,6597;68,2800;2,0715;54,5276;16,2700;68,2800;54,5276;16,2700
65,1400;2,6393;68,7600;2,0754;54,4345;16,0100;68,7600;54,4345;16,0100
65,9400;2,6179;68,9800;2,0783;56,0241;16,4600;68,9800;56,0241;16,4600
