train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
13,6187;4,1680;20,4000;3,7105;20,2483;10,1400;20,4000;20,2483;10,1400
31,3200;3,6770;34,5600;3,2013;31,2483;10,2300;34,5600;31,2483;10,2300
43,9787;3,3471;43,7100;2,9160;37,6414;10,9800;43,7100;37,6414;10,9800
52,0607;3,1314;48,7900;2,7905;44,6621;10,6200;48,7900;44,6621;10,6200
56,6607;3,0004;52,9800;2,6289;49,0759;10,6600;52,9800;49,0759;10,6600
59,7580;2,9007;55,7800;2,5804;46,3310;12,3500;55,7800;46,3310;12,3500
62,0693;2,8279;56,4100;2,4766;47,5517;11,6100;56,4100;47,5517;11,6100
64,4193;2,7566;57,7900;2,4332;48,4483;13,1800;57,7900;48,4483;13,1800
65,9433;2,6964;59,5200;2,4116;47,6931;12,0900;59,5200;47,6931;12,0900
67,6093;2,6434;63,1300;2,2483;50,2345;13,2200;63,1300;50,2345;13,2200
68,5660;2,6090;63,5200;2,2481;50,9931;14,8600;63,5200;50,9931;14,8600
69,9793;2,5611;64,4700;2,2450;49,8690;14,1100;64,4700;49,8690;14,1100
70,6767;2,5357;65,2000;2,1994;52,5172;14,5900;65,2000;52,5172;14,5900
71,9440;2,4876;66,1400;2,1498;52,2828;15,1000;66,1400;52,2828;15,1000
72,9800;2,4529;67,2200;2,0690;54,7793;15,9000;67,2200;54,7793;15,9000
73,6847;2,4199;68,4400;2,0248;55,6552;16,4800;68,4400;55,6552;16,4800
74,2580;2,4041;68,6300;2,0136;54,5793;17,7700;68,6300;54,5793;17,7700
75,3980;2,3572;70,0100;1,9865;57,3655;17,2400;70,0100;57,3655;17,2400
75,9420;2,3414;70,0800;1,9875;57,2241;17,6600;70,0800;57,2241;17,6600
76,5520;2,3134;71,0100;1,9313;57,1448;18,4100;71,0100;57,1448;18,4100
77,0687;2,2917;71,3100;1,8931;58,6862;19,7700;71,3100;58,6862;19,7700
77,7253;2,2649;72,3400;1,8721;59,2897;18,1900;72,3400;59,2897;18,1900
78,8240;2,2284;72,3600;1,8433;59,4828;19,3400;72,3600;59,4828;19,3400
79,0080;2,2209;72,8400;1,8283;59,8207;19,7000;72,8400;59,8207;19,7000
79,3873;2,2069;73,2100;1,8434;59,3724;20,3700;73,2100;59,3724;20,3700
79,5100;2,1960;73,5000;1,8173;60,9414;20,8500;73,5000;60,9414;20,8500
80,1767;2,1684;73,6400;1,8088;60,2207;20,6900;73,6400;60,2207;20,6900
80,3440;2,1615;74,0300;1,7902;60,6655;20,6200;74,0300;60,6655;20,6200
80,6053;2,1575;74,4200;1,7692;60,4517;20,9500;74,4200;60,4517;20,9500
80,8367;2,1493;74,2300;1,7606;60,6621;20,6400;74,2300;60,6621;20,6400
72,5747;2,4515;64,2500;2,2009;52,3345;14,9100;64,2500;52,3345;14,9100
72,0760;2,4687;66,3300;2,1582;53,7552;14,9300;66,3300;53,7552;14,9300
72,7747;2,4435;67,2500;2,1286;52,7862;15,5800;67,2500;52,7862;15,5800
72,9680;2,4375;68,3600;2,1024;53,7759;16,3300;68,3600;53,7759;16,3300
73,6060;2,4135;67,8700;2,0848;55,8655;15,0000;67,8700;55,8655;15,0000
73,9547;2,3981;67,6200;2,0561;55,5759;17,1500;67,6200;55,5759;17,1500
74,4480;2,3829;67,1100;2,0811;52,8207;16,7500;67,1100;52,8207;16,7500
74,8907;2,3637;69,3500;1,9642;55,6069;16,4300;69,3500;55,6069;16,4300
75,4993;2,3378;70,4300;2,0001;54,5862;17,7900;70,4300;54,5862;17,7900
