train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
5,6140;4,3939;8,1000;4,2288;7,5621;6,3400;8,1000;7,5621;6,3400
9,5840;4,2325;12,8400;3,8791;14,9759;8,0500;12,8400;14,9759;8,0500
13,5220;4,1009;17,6800;3,6945;19,9172;8,9000;17,6800;19,9172;8,9000
17,3660;3,9743;24,2500;3,4008;21,4517;10,8300;24,2500;21,4517;10,8300
20,2200;3,8648;29,1500;3,1905;28,0655;10,5200;29,1500;28,0655;10,5200
25,2560;3,7378;31,3100;3,1149;30,2103;11,3100;31,3100;30,2103;11,3100
27,0100;3,6928;34,2900;3,0024;30,4793;13,5800;34,2900;30,4793;13,5800
30,2300;3,5817;37,3700;2,9128;32,9828;13,1600;37,3700;32,9828;13,1600
30,6880;3,5512;38,9600;2,9109;30,5793;15,6800;38,9600;30,5793;15,6800
34,7140;3,4444;43,7200;2,6352;38,6310;17,0600;43,7200;38,6310;17,0600
36,3520;3,3741;44,0500;2,6704;37,2241;17,5400;44,0500;37,2241;17,5400
39,1500;3,3321;46,4300;2,5847;39,0276;18,1400;46,4300;39,0276;18,1400
36,6660;3,4131;48,6400;2,4986;43,0345;19,4900;48,6400;43,0345;19,4900
41,6940;3,2683;50,5300;2,4064;42,8172;18,2400;50,5300;42,8172;18,2400
39,9400;3,3249;50,8600;2,4367;42,0103;21,4300;50,8600;42,0103;21,4300
44,3720;3,1716;53,1500;2,3703;43,2345;25,4300;53,1500;43,2345;25,4300
42,8600;3,2046;53,3000;2,3461;45,1897;25,8300;53,3000;45,1897;25,8300
44,3480;3,1922;55,9100;2,2211;45,8483;23,2300;55,9100;45,8483;23,2300
43,7020;3,2235;56,8800;2,1803;46,1517;24,1900;56,8800;46,1517;24,1900
44,4940;3,1590;57,8000;2,1737;47,8069;26,4800;57,8000;47,8069;26,4800
46,6800;3,1090;58,5100;2,1774;47,8862;27,4600;58,5100;47,8862;27,4600
44,1780;3,1743;59,2400;2,1344;49,9414;29,0300;59,2400;49,9414;29,0300
47,8280;3,0833;60,1900;2,0806;50,3759;26,4300;60,1900;50,3759;26,4300
48,9980;3,0392;61,5500;2,0338;50,5621;27,7700;61,5500;50,5621;27,7700
47,9320;3,0151;62,4900;2,0180;51,3621;30,8900;62,4900;51,3621;30,8900
52,2380;2,9416;62,9300;1,9899;51,9690;27,2900;62,9300;51,9690;27,2900
50,5240;2,9989;62,6600;2,0047;51,3000;29,3300;62,6600;51,3000;29,3300
49,4460;3,0545;62,8100;1,9928;52,1310;27,7600;62,8100;52,1310;27,7600
53,0100;2,9192;63,5100;1,9864;52,4276;30,1700;63,5100;52,4276;30,1700
51,9880;2,9006;63,6100;1,9753;52,3828;28,9700;63,6100;52,3828;28,9700
43,1680;3,2239;51,0600;2,4696;42,4069;24,1600;51,0600;42,4069;24,1600
42,8100;3,2394;52,9400;2,3415;42,1690;22,5700;52,9400;42,1690;22,5700
43,6180;3,2148;53,0000;2,3375;45,7414;24,2600;53,0000;45,7414;24,2600
44,9560;3,1441;56,2900;2,2555;45,5724;27,0300;56,2900;45,5724;27,0300
47,4420;3,0908;56,6000;2,2133;46,9759;23,9700;56,6000;46,9759;23,9700
47,1020;3,1237;56,7600;2,2358;46,4828;30,0700;56,7600;46,4828;30,0700
46,8260;3,1153;57,0600;2,1566;46,9897;22,0600;57,0600;46,9897;22,0600
47,5560;3,1019;57,2700;2,1940;47,0552;27,0700;57,2700;47,0552;27,0700
47,3940;3,1144;60,3700;2,0959;47,2621;29,9300;60,3700;47,2621;29,9300
48,1820;3,1005;60,5000;2,0719;51,1621;26,7900;60,5000;51,1621;26,7900
48,9820;3,0463;61,6400;2,0625;47,7586;30,2600;61,6400;47,7586;30,2600
49,6520;3,0659;60,3500;2,0651;47,5414;24,0000;60,3500;47,5414;24,0000
48,5500;3,0373;60,9100;2,0444;48,3172;28,5700;60,9100;48,3172;28,5700
49,9300;3,0414;60,7400;2,0595;51,7931;27,7000;60,7400;51,7931;27,7000
51,9140;2,9100;63,5800;1,9653;50,0586;29,5000;63,5800;50,0586;29,5000
51,4820;2,9810;63,0100;1,9807;50,5172;28,6600;63,0100;50,5172;28,6600
50,0860;2,9678;62,0600;2,0564;51,4069;34,9600;62,0600;51,4069;34,9600
50,7080;3,0005;63,8800;1,9848;51,9724;33,5600;63,8800;51,9724;33,5600
52,5900;2,9175;64,3100;1,9292;52,1552;30,4100;64,3100;52,1552;30,4100
51,6700;2,9257;63,3800;1,9699;50,8310;29,9700;63,3800;50,8310;29,9700
51,1100;2,9752;64,4500;1,9543;52,4069;30,5300;64,4500;52,4069;30,5300
49,2320;3,0202;63,1600;1,9658;51,3310;27,3200;63,1600;51,3310;27,3200
53,5280;2,9106;65,2100;1,9296;54,1483;35,1900;65,2100;54,1483;35,1900
55,6980;2,7823;67,1400;1,8539;55,0931;34,8100;67,1400;55,0931;34,8100
51,4260;2,9715;64,9300;1,9223;51,2483;32,7100;64,9300;51,2483;32,7100
51,8660;2,9477;65,4900;1,8934;53,7862;32,7200;65,4900;53,7862;32,7200
54,2100;2,8954;67,2900;1,8495;53,6448;34,2700;67,2900;53,6448;34,2700
57,2340;2,8211;67,0800;1,8593;55,3172;34,4800;67,0800;55,3172;34,4800
54,4720;2,8653;68,3700;1,7882;53,5897;30,1900;68,3700;53,5897;30,1900
54,6920;2,8635;68,2900;1,8095;55,6828;34,6800;68,2900;55,6828;34,6800
55,3960;2,8199;67,8900;1,8223;53,6034;34,4300;67,8900;53,6034;34,4300
56,4680;2,8144;69,4600;1,7637;56,0172;32,7700;69,4600;56,0172;32,7700
57,8960;2,7480;69,2300;1,7741;54,1931;30,4700;69,2300;54,1931;30,4700
58,5440;2,7430;69,6700;1,7506;55,7690;34,5300;69,6700;55,7690;34,5300
55,9560;2,8187;69,3300;1,7779;55,3138;37,0800;69,3300;55,3138;37,0800
59,1200;2,7527;70,4200;1,7470;56,6379;35,0000;70,4200;56,6379;35,0000
54,8580;2,8551;71,0300;1,7213;56,8069;37,2300;71,0300;56,8069;37,2300
54,4200;2,8313;70,0700;1,7445;55,5034;33,2900;70,0700;55,5034;33,2900
54,6740;2,8369;70,6100;1,7342;56,5621;33,1200;70,6100;56,5621;33,1200
57,9160;2,6954;71,0300;1,7223;56,5000;36,4000;71,0300;56,5000;36,4000
57,6860;2,7734;72,5300;1,6787;58,5828;36,5100;72,5300;58,5828;36,5100
57,7140;2,7224;71,6300;1,6976;57,4345;37,4200;71,6300;57,4345;37,4200
56,4120;2,7944;72,1300;1,6867;57,5655;37,1800;72,1300;57,5655;37,1800
59,3060;2,7099;72,5700;1,6727;57,5379;36,9200;72,5700;57,5379;36,9200
