train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
7,5980;4,2039;11,1700;3,9848;8,8241;6,8800;11,1700;8,8241;6,8800
14,8060;3,8451;18,3200;3,7752;15,7724;7,9400;18,3200;15,7724;7,9400
22,4640;3,5176;22,6200;3,7032;23,1310;10,1900;22,6200;23,1310;10,1900
29,4340;3,2487;30,8900;3,3438;27,6517;12,1300;30,8900;27,6517;12,1300
35,2800;3,0220;38,4300;2,9964;33,0655;15,7800;38,4300;33,0655;15,7800
39,9140;2,8577;40,8800;2,8979;33,9517;18,1400;40,8800;33,9517;18,1400
44,2720;2,7066;43,1700;2,7621;36,0207;19,9300;43,1700;36,0207;19,9300
47,8580;2,5821;46,1300;2,6486;36,8414;19,1200;46,1300;36,8414;19,1200
49,8680;2,5130;49,3800;2,5539;41,2345;22,8900;49,3800;41,2345;22,8900
52,3020;2,4326;51,7200;2,5238;38,5897;25,0300;51,7200;38,5897;25,0300
54,7680;2,3540;53,2800;2,4275;42,0793;26,6700;53,2800;42,0793;26,6700
55,3940;2,3253;55,2400;2,3265;42,8000;23,4700;55,2400;42,8000;23,4700
56,7620;2,2715;55,4400;2,3074;45,8069;26,2800;55,4400;45,8069;26,2800
58,5860;2,2225;58,4900;2,2244;45,9862;27,9300;58,4900;45,9862;27,9300
59,8580;2,1684;58,5500;2,2123;47,4862;28,5300;58,5500;47,4862;28,5300
61,0540;2,1310;59,8300;2,1804;45,4862;30,7100;59,8300;45,4862;30,7100
61,7000;2,1048;60,8400;2,1177;46,8586;30,9100;60,8400;46,8586;30,9100
62,9280;2,0675;62,2700;2,0742;49,2172;30,9200;62,2700;49,2172;30,9200
63,9820;2,0277;63,6100;2,0438;47,6724;34,1800;63,6100;47,6724;34,1800
64,3640;2,0178;62,4700;2,0876;48,9069;32,5400;62,4700;48,9069;32,5400
65,3240;1,9818;63,5300;2,0565;50,3138;35,8100;63,5300;50,3138;35,8100
66,3200;1,9523;65,5900;1,9740;51,3655;36,3100;65,5900;51,3655;36,3100
67,1480;1,9220;66,1000;1,9548;51,5621;35,4800;66,1000;51,5621;35,4800
67,5120;1,9066;65,7800;1,9426;51,4414;36,3900;65,7800;51,4414;36,3900
67,9460;1,8925;66,4900;1,9350;52,2517;37,7300;66,4900;52,2517;37,7300
68,7040;1,8683;67,0400;1,9240;52,2793;38,8400;67,0400;52,2793;38,8400
68,8700;1,8612;67,3100;1,9136;52,8517;38,7600;67,3100;52,8517;38,7600
68,9540;1,8587;67,8900;1,8943;53,4690;37,9300;67,8900;53,4690;37,9300
69,0700;1,8561;67,5400;1,9038;53,3552;38,4100;67,5400;53,3552;38,4100
69,3780;1,8489;67,6200;1,9049;53,2966;38,5000;67,6200;53,2966;38,5000
61,1100;2,1151;58,8600;2,2513;45,2310;31,1500;58,8600;45,2310;31,1500
60,6400;2,1302;56,6800;2,3246;44,4897;29,4800;56,6800;44,4897;29,4800
60,9120;2,1231;58,4000;2,2350;44,2483;30,3700;58,4000;44,2483;30,3700
61,6120;2,0927;60,8000;2,1464;44,8345;33,0800;60,8000;44,8345;33,0800
62,4760;2,0732;59,7500;2,2182;46,8207;30,9700;59,7500;46,8207;30,9700
62,7420;2,0551;61,8500;2,1173;48,6000;31,5400;61,8500;48,6000;31,5400
63,3140;2,0393;60,6100;2,1600;48,3724;33,5100;60,6100;48,3724;33,5100
63,9900;2,0209;63,4600;2,0746;48,0276;37,2100;63,4600;48,0276;37,2100
64,6560;1,9938;64,0100;2,0249;48,9034;35,8800;64,0100;48,9034;35,8800
65,0920;1,9794;63,8800;2,0649;48,0379;36,1200;63,8800;48,0379;36,1200
65,2900;1,9656;61,8800;2,1214;45,6345;34,8500;61,8800;45,6345;34,8500
66,6880;1,9285;64,4400;2,0457;49,7379;36,6900;64,4400;49,7379;36,6900
66,4820;1,9323;65,8800;2,0008;51,6966;39,6500;65,8800;51,6966;39,6500
66,4580;1,9255;65,3600;1,9923;52,5241;36,6900;65,3600;52,5241;36,6900
67,1900;1,9038;66,6500;1,9654;52,1138;37,8600;66,6500;52,1138;37,8600
68,3980;1,8716;66,1400;1,9608;51,4207;38,5500;66,1400;51,4207;38,5500
68,3560;1,8724;67,1800;1,9205;51,7621;38,7400;67,1800;51,7621;38,7400
69,0800;1,8525;67,2300;1,9411;52,0793;40,7000;67,2300;52,0793;40,7000
69,0580;1,8392;66,5400;1,9433;50,6103;36,9400;66,5400;50,6103;36,9400
69,2960;1,8336;66,4700;1,9164;50,4448;38,3800;66,4700;50,4448;38,3800
69,5880;1,8270;68,0000;1,8794;51,5310;37,8000;68,0000;51,5310;37,8000
69,7300;1,8133;68,4000;1,8963;53,7138;42,8100;68,4000;53,7138;42,8100
70,4180;1,7986;70,2900;1,8179;52,8069;42,5500;70,2900;52,8069;42,5500
70,8400;1,7836;69,9200;1,8336;53,5793;43,5400;69,9200;53,5793;43,5400
71,1340;1,7724;70,2900;1,8209;52,9793;41,0000;70,2900;52,9793;41,0000
71,3740;1,7625;70,4300;1,8309;53,2621;40,9100;70,4300;53,2621;40,9100
71,9780;1,7364;70,3900;1,8145;51,9690;40,7600;70,3900;51,9690;40,7600
72,3280;1,7260;71,4700;1,7928;55,2172;44,1700;71,4700;55,2172;44,1700
72,8320;1,7146;70,9600;1,7797;52,0931;43,4500;70,9600;52,0931;43,4500
73,2140;1,7033;71,3300;1,7751;53,7759;43,8600;71,3300;53,7759;43,8600
73,0060;1,7037;72,0100;1,7432;53,2828;43,1200;72,0100;53,2828;43,1200
73,3480;1,6926;72,1000;1,7697;55,1379;45,2000;72,1000;55,1379;45,2000
73,9560;1,6759;72,8700;1,7412;54,2655;45,7100;72,8700;54,2655;45,7100
74,4940;1,6585;72,9000;1,7440;55,7448;45,0600;72,9000;55,7448;45,0600
74,6860;1,6494;73,9600;1,7243;56,1828;46,0100;73,9600;56,1828;46,0100
75,1800;1,6337;73,4200;1,7235;55,7655;46,0000;73,4200;55,7655;46,0000
74,8400;1,6428;74,0900;1,6804;56,9103;45,8200;74,0900;56,9103;45,8200
75,2700;1,6264;74,4500;1,6802;55,8690;46,9900;74,4500;55,8690;46,9900
75,9300;1,6085;74,1400;1,6859;57,0621;47,8300;74,1400;57,0621;47,8300
75,7640;1,6045;74,8400;1,6669;57,1759;47,4000;74,8400;57,1759;47,4000
76,6760;1,5840;74,8400;1,6752;56,0000;47,9000;74,8400;56,0000;47,9000
76,6240;1,5777;75,0200;1,6553;57,1207;48,8500;75,0200;57,1207;48,8500
76,9460;1,5751;74,8600;1,6476;57,2483;48,3700;74,8600;57,2483;48,3700
77,4640;1,5583;75,2300;1,6573;57,3483;48,2300;75,2300;57,3483;48,2300
77,6260;1,5533;75,5100;1,6315;56,5414;48,0700;75,5100;56,5414;48,0700
77,5840;1,5507;75,7600;1,6328;57,4414;48,7800;75,7600;57,4414;48,7800
77,6300;1,5475;76,5700;1,6129;58,0621;48,9200;76,5700;58,0621;48,9200
78,4560;1,5275;76,4000;1,6233;58,0000;48,5700;76,4000;58,0000;48,5700
78,5000;1,5224;76,2000;1,6148;59,2690;49,8500;76,2000;59,2690;49,8500
78,3080;1,5264;76,8000;1,6212;58,4103;50,7600;76,8000;58,4103;50,7600
78,9880;1,5057;76,6200;1,6064;58,9276;49,6000;76,6200;58,9276;49,6000
78,7020;1,5110;77,0000;1,5962;59,3724;50,1300;77,0000;59,3724;50,1300
79,0380;1,5025;76,8700;1,6079;59,0414;50,4900;76,8700;59,0414;50,4900
79,3120;1,4954;76,7400;1,6018;58,9172;50,2900;76,7400;58,9172;50,2900
79,2720;1,4982;77,0500;1,6025;59,3724;50,7200;77,0500;59,3724;50,7200
79,4640;1,4923;76,9800;1,5912;59,4552;50,2000;76,9800;59,4552;50,2000
79,6140;1,4841;76,8800;1,5879;58,8517;49,7700;76,8800;58,8517;49,7700
79,5840;1,4898;76,9200;1,6003;58,8310;50,5500;76,9200;58,8310;50,5500
79,5140;1,4901;77,0900;1,5900;59,3379;50,0800;77,0900;59,3379;50,0800
79,6540;1,4833;77,1400;1,5884;59,2828;50,3100;77,1400;59,2828;50,3100
72,2200;1,7290;69,8000;1,8488;53,7621;41,4900;69,8000;53,7621;41,4900
70,8600;1,7764;69,5600;1,8276;52,7655;42,2300;69,5600;52,7655;42,2300
70,4460;1,7813;69,8400;1,8024;51,4379;39,9800;69,8400;51,4379;39,9800
70,6700;1,7813;69,2700;1,8687;53,4069;41,4200;69,2700;53,4069;41,4200
70,9420;1,7683;69,6600;1,8218;52,0310;42,2100;69,6600;52,0310;42,2100
70,8100;1,7752;69,7400;1,8114;54,2690;39,2400;69,7400;54,2690;39,2400
70,9200;1,7701;70,4500;1,8228;53,7172;42,3800;70,4500;53,7172;42,3800
71,2460;1,7622;69,6000;1,8422;51,4655;41,6400;69,6000;51,4655;41,6400
71,5380;1,7478;70,5200;1,8139;52,5448;43,7100;70,5200;52,5448;43,7100
71,5580;1,7502;69,4700;1,8581;53,6172;45,1700;69,4700;53,6172;45,1700
71,5240;1,7481;71,0300;1,7760;54,4310;41,4900;71,0300;54,4310;41,4900
71,9920;1,7301;71,0300;1,7687;51,9862;40,6100;71,0300;51,9862;40,6100
72,1720;1,7269;70,1200;1,8235;54,9000;42,1500;70,1200;54,9000;42,1500
72,2880;1,7243;70,7200;1,7984;53,1379;43,5700;70,7200;53,1379;43,5700
72,5100;1,7151;71,1300;1,7740;54,1034;43,6400;71,1300;54,1034;43,6400
72,2300;1,7225;71,5400;1,7680;54,6034;43,8000;71,5400;54,6034;43,8000
72,5440;1,7179;71,3700;1,7656;54,4966;44,2800;71,3700;54,4966;44,2800
73,1200;1,7013;72,1000;1,7396;54,4414;44,5000;72,1000;54,4414;44,5000
73,1240;1,6998;71,8400;1,7530;55,6069;43,8900;71,8400;55,6069;43,8900
73,2800;1,6849;71,6300;1,7669;53,1793;42,8300;71,6300;53,1793;42,8300
72,9580;1,6938;71,9900;1,7455;52,7414;43,5500;71,9900;52,7414;43,5500
73,8100;1,6741;72,1500;1,7306;54,8931;43,2900;72,1500;54,8931;43,2900
73,1840;1,6866;71,8600;1,7456;55,7862;44,2800;71,8600;55,7862;44,2800
73,6180;1,6778;71,2900;1,7546;51,2897;40,2400;71,2900;51,2897;40,2400
73,9380;1,6695;73,0200;1,7091;56,0310;43,5800;73,0200;56,0310;43,5800
74,4200;1,6530;71,9900;1,7579;55,3966;43,1500;71,9900;55,3966;43,1500
74,0640;1,6578;72,4400;1,6919;54,4862;42,3400;72,4400;54,4862;42,3400
74,6840;1,6417;72,6500;1,7337;55,7034;45,9500;72,6500;55,7034;45,9500
74,1320;1,6572;73,3300;1,7120;55,8517;45,7600;73,3300;55,8517;45,7600
74,4720;1,6432;73,5400;1,6983;56,2069;46,5500;73,5400;56,2069;46,5500
74,9920;1,6333;73,0900;1,6881;56,6862;43,8300;73,0900;56,6862;43,8300
74,8940;1,6313;71,9300;1,7398;53,5103;43,3200;71,9300;53,5103;43,3200
74,8740;1,6329;73,6000;1,6898;56,0690;45,4600;73,6000;56,0690;45,4600
75,5500;1,6120;74,0000;1,6766;55,7517;44,3800;74,0000;55,7517;44,3800
75,3520;1,6135;73,9500;1,6774;55,9034;45,8200;73,9500;55,9034;45,8200
75,5960;1,6071;74,3400;1,6440;56,4379;45,2000;74,3400;56,4379;45,2000
75,5160;1,6087;73,4900;1,6727;56,8690;45,3100;73,4900;56,8690;45,3100
76,0420;1,5962;74,6700;1,6542;57,0034;44,4900;74,6700;57,0034;44,4900
75,4800;1,6043;75,2700;1,6433;58,3862;46,6500;75,2700;58,3862;46,6500
75,8180;1,6001;75,1300;1,6094;57,2897;44,0700;75,1300;57,2897;44,0700
76,0340;1,5933;75,4200;1,6273;57,8310;45,6800;75,4200;57,8310;45,6800
76,0280;1,5919;73,1600;1,6854;56,6621;45,6300;73,1600;56,6621;45,6300
76,5200;1,5806;74,8900;1,6688;57,9552;48,6300;74,8900;57,9552;48,6300
