train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
6,3180;4,4619;13,1400;4,0740;14,3474;7,6900
11,6500;4,3269;21,1100;3,8381;22,0579;10,2000
17,4613;4,1912;28,4700;3,5658;27,8105;10,2700
22,0420;4,0959;33,0300;3,4434;32,3421;10,4400
26,8253;3,9930;39,9900;3,3076;37,5789;9,8900
30,0840;3,9319;43,4900;3,0528;39,3737;9,1500
32,9767;3,8535;47,3500;3,0046;40,9316;10,1300
35,7267;3,8013;52,2800;2,9459;44,3789;11,3000
38,0667;3,7578;54,1800;2,9207;46,9211;11,0300
39,3773;3,7239;56,1000;2,7588;48,5105;11,9900
41,2593;3,6834;55,6000;2,7414;46,7316;10,7500
42,8907;3,6291;59,6400;2,6161;50,1947;11,5500
43,8993;3,6350;60,9700;2,5255;53,3895;13,1900
45,3760;3,5835;62,4600;2,4390;52,5526;13,1500
46,7247;3,5471;61,8700;2,4283;51,5211;14,2000
48,4533;3,5359;65,2500;2,3334;56,4684;13,8400
48,3060;3,5263;65,7500;2,3903;56,1526;15,3400
51,6753;3,4443;66,3000;2,3858;55,6211;15,6800
51,5173;3,4461;66,2600;2,3514;55,6947;14,8300
52,9447;3,4171;68,6800;2,2574;57,8579;16,8600
52,2553;3,4234;68,4600;2,2887;58,0316;17,7700
54,0767;3,3915;69,5700;2,2485;59,4737;17,2500
55,8213;3,3555;70,6300;2,1704;59,3000;17,0900
54,6660;3,4167;70,1300;2,2585;59,5526;17,2700
55,0187;3,3748;70,0200;2,3064;59,8000;17,5600
44,8987;3,5920;58,3500;2,5147;49,7947;11,4300
45,1460;3,5876;61,9300;2,5390;54,0000;11,9400
46,4360;3,5587;61,9400;2,5870;49,7421;11,8700
47,7100;3,5576;63,4400;2,4310;53,2579;13,0800
49,0133;3,4940;63,6800;2,3886;51,2632;13,9400
49,2207;3,4987;64,6800;2,5181;54,7105;15,6200
50,7827;3,4501;62,5800;2,4987;53,6263;14,4600
50,3213;3,4646;66,4600;2,4076;54,4053;15,2500
52,2213;3,4061;67,9900;2,3351;56,2474;15,1500
52,5880;3,3734;67,3100;2,3058;55,3895;15,3500
52,8340;3,4331;68,6100;2,3364;57,6421;17,8200
53,7253;3,3952;68,1600;2,3228;54,9368;17,9200
53,8893;3,4045;68,5800;2,3388;56,4895;18,0000
53,1533;3,3728;69,1500;2,2057;56,8842;17,1800
56,0267;3,3456;69,9800;2,2673;57,1211;17,5500
56,5900;3,3100;69,8000;2,3628;57,1947;18,0000
54,9047;3,3542;70,1400;2,2808;58,8421;19,2800
55,5013;3,3557;70,4800;2,2912;58,3474;18,4000
56,3013;3,3160;70,9600;2,2144;60,6263;19,2600
58,9173;3,2593;72,2500;2,2401;60,6474;18,7300
57,8140;3,2866;71,7400;2,2451;59,6421;19,3800
59,1560;3,2705;71,6300;2,2089;59,5579;19,3400
59,2393;3,2267;71,9800;2,1232;60,9632;20,3300
59,2820;3,2671;72,3300;2,0879;61,2053;19,2400
58,3013;3,2806;72,2200;2,1940;61,9316;21,6900
59,9867;3,2241;72,0000;2,2789;60,6421;22,0200
60,1313;3,2323;73,5600;2,1409;62,4842;22,4700
61,1873;3,1678;74,4600;2,0371;64,0211;22,0300
61,9900;3,1965;74,4600;2,0292;63,9684;22,4800
62,0920;3,2079;74,1000;2,0958;61,9105;21,7200
60,4867;3,2376;75,0400;2,1087;62,3474;24,1800
65,6153;3,0646;75,0200;2,0796;64,8000;22,5200
61,4493;3,1969;75,8500;2,0339;65,6000;25,1000
63,8387;3,1382;76,0800;1,9645;64,9474;22,9000
65,5273;3,0711;76,1400;2,0511;64,9053;24,0600
64,9893;3,1189;76,5900;2,0642;65,9842;26,1000
63,5020;3,1400;76,0700;2,0272;65,9263;26,2200
64,9213;3,1133;76,1500;2,0934;66,8421;27,3000
65,7427;3,0880;77,1600;1,9848;66,8000;26,4200
67,1953;3,0378;77,7000;2,0022;68,0684;26,3900
66,6987;3,0611;77,2200;1,9241;66,9737;26,0600
68,3847;2,9939;77,5600;1,9034;67,2947;25,7200
68,5800;3,0315;77,9700;1,9350;67,8737;26,8300
67,6320;3,0336;78,3100;1,8938;68,0158;25,4500
67,2247;3,0464;77,7800;1,9641;67,1105;28,2400
67,8313;3,0643;78,1300;1,9158;68,0526;26,8200
67,8200;3,0521;78,3500;1,9277;68,2737;26,0000
68,2620;3,0290;77,8800;2,0798;68,2526;27,7800
69,8493;2,9951;78,1900;1,9169;68,2474;26,5500
69,4567;3,0024;77,7100;2,0735;68,5211;27,3700
56,8187;3,2861;69,1500;2,1993;58,0053;15,6400
55,3020;3,3288;69,2400;2,2510;56,4947;18,6300
55,7627;3,3403;70,2800;2,2483;61,0842;18,5700
57,1680;3,2929;70,2500;2,2317;58,0947;20,7600
55,5213;3,3281;71,3100;2,2804;59,5368;21,6900
57,9467;3,2969;69,5900;2,2213;56,4263;20,7900
56,7713;3,3090;70,8200;2,1959;58,5895;22,2900
59,3893;3,2666;71,6500;2,1867;59,7895;21,8200
58,9367;3,2311;71,8700;2,1804;59,3421;21,3000
59,5560;3,2314;72,5400;2,0625;60,0316;19,7000
59,1807;3,2410;72,6500;2,1417;61,1316;20,4200
60,2787;3,1969;72,0200;2,2463;60,8105;21,6400
60,2287;3,2163;71,2600;2,2621;60,1368;21,8600
60,1560;3,2003;71,8400;2,2231;60,9105;21,8200
60,2600;3,2254;72,0300;2,3503;60,5474;20,8600
