train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
6,9833;4,4474;14,2700;4,0538;16,4632;8,8600
13,6580;4,2756;20,1600;3,7549;18,3368;7,4900
18,3567;4,1812;30,7900;3,5514;28,4263;9,9400
22,9033;4,1007;36,3400;3,2682;35,0684;10,5900
26,1360;4,0283;40,0900;3,4173;35,9737;9,9000
30,5887;3,9429;41,6000;3,1366;38,6000;9,9700
33,3893;3,8696;48,1300;3,0428;41,6421;11,7400
35,8473;3,8328;49,6800;3,0842;45,6158;11,1400
37,6093;3,7789;52,7100;2,7897;44,5158;12,4700
40,7893;3,7037;53,6800;2,7802;47,8211;12,2700
40,5600;3,7248;56,4800;2,8701;49,2158;13,6400
43,2473;3,6855;56,5400;2,8805;49,4526;12,6400
43,6027;3,6489;61,0000;2,6068;53,2947;14,3800
45,6553;3,6017;60,9500;2,6047;51,8632;14,7700
48,2967;3,4893;62,0000;2,5141;56,1737;15,0200
49,2540;3,5165;63,6600;2,5774;54,6211;15,1700
50,2287;3,5067;64,5400;2,5457;55,0474;15,6500
51,5260;3,4628;65,4600;2,4739;56,9368;16,4000
51,0207;3,5267;67,1600;2,4002;57,4632;16,9500
53,1687;3,4377;67,6900;2,3400;57,8316;17,0500
54,3787;3,3894;68,4900;2,3412;58,6316;16,6700
54,4700;3,4135;69,1500;2,3207;58,8684;17,1600
54,6113;3,4106;69,2400;2,3028;59,0158;17,6800
56,5427;3,3699;69,2900;2,3585;59,3947;17,7900
55,4173;3,4029;69,5800;2,2971;59,5632;17,8400
45,2393;3,6003;60,6100;2,5917;50,5526;14,1100
45,4467;3,6001;60,0200;2,5359;53,5684;15,6800
46,2700;3,6019;61,3000;2,5239;51,3158;15,0100
49,2960;3,5398;62,0000;2,5370;51,5474;13,0800
46,4573;3,5755;63,1300;2,5695;54,5158;15,7100
48,7620;3,5354;65,4700;2,4395;55,4579;15,7600
49,1053;3,5401;65,3500;2,4051;53,5316;14,1900
52,0980;3,4655;64,6800;2,4997;55,3474;14,4300
51,0753;3,5035;66,8700;2,4042;56,6895;15,6200
53,6333;3,4297;68,0600;2,3583;59,0947;15,4800
