train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_swa;valid_accuracy_robust_swa
4,3580;4,4138;7,6400;4,3081;8,4207;7,6400;8,4207
10,1620;4,1023;12,3100;4,0906;13,9655;12,3100;13,9655
17,5080;3,7295;23,0800;3,6577;20,7931;23,0800;20,7931
25,3860;3,4152;25,8300;3,4505;20,7517;25,8300;20,7517
31,6960;3,1618;34,2600;3,2405;30,9724;34,2600;30,9724
37,1760;2,9611;39,8100;3,0807;35,8345;39,8100;35,8345
41,9340;2,7913;41,0500;2,9545;33,2345;41,0500;33,2345
45,2380;2,6664;42,5000;2,8271;35,6828;42,5000;35,6828
46,2140;2,6231;46,2500;2,7119;38,7931;46,2500;38,7931
50,0580;2,5132;48,2600;2,6598;39,6828;48,2600;39,6828
51,2820;2,4674;49,1400;2,5926;39,5517;49,1400;39,5517
52,7200;2,4102;51,0500;2,5132;39,8414;51,0500;39,8414
54,6460;2,3583;52,1400;2,5607;44,6483;52,1400;44,6483
56,1660;2,2934;54,9100;2,3989;47,4414;54,9100;47,4414
57,7360;2,2372;55,9900;2,3722;43,8897;55,9900;43,8897
58,3240;2,2183;54,8800;2,4241;43,8690;54,8800;43,8690
60,8320;2,1445;58,1600;2,2580;49,0414;58,1600;49,0414
61,1540;2,1264;58,6200;2,3003;46,8897;58,6200;46,8897
61,8680;2,1013;58,3900;2,2820;48,1034;58,3900;48,1034
63,1080;2,0660;60,3600;2,2046;46,9310;60,3600;46,9310
63,6100;2,0408;60,3400;2,2156;49,7310;60,3400;49,7310
63,8740;2,0344;61,6800;2,1645;48,4414;61,6800;48,4414
64,8920;1,9973;61,2600;2,1831;48,5517;61,2600;48,5517
66,4540;1,9564;62,4900;2,1338;48,9793;62,4900;48,9793
66,4480;1,9569;62,7000;2,1129;49,1310;62,7000;49,1310
67,2560;1,9210;63,0700;2,0890;49,7793;63,0700;49,7793
67,5900;1,9161;63,4800;2,0815;49,9241;63,4800;49,9241
67,4980;1,9183;63,9600;2,0863;50,0897;63,9600;50,0897
68,2400;1,8926;63,7700;2,0773;50,2000;63,7700;50,2000
67,8980;1,9036;63,8600;2,0688;50,1241;63,8600;50,1241
59,7020;2,1699;55,7000;2,4226;42,7172;55,7000;42,7172
58,9040;2,1999;55,6500;2,3582;41,1034;55,6500;41,1034
59,5380;2,1659;57,4800;2,3213;44,4069;57,4800;44,4069
59,6880;2,1712;57,8900;2,3925;46,2483;57,8900;46,2483
60,7620;2,1330;58,0800;2,3044;43,6759;58,0800;43,6759
61,9120;2,1049;58,0600;2,2827;47,8828;58,0600;47,8828
61,9940;2,0869;60,8900;2,1955;48,0621;60,8900;48,0621
62,6200;2,0671;61,2300;2,2350;47,8759;61,2300;47,8759
63,2180;2,0497;61,1000;2,2249;47,3586;61,1000;47,3586
63,2480;2,0436;60,5000;2,1637;48,6621;60,5000;48,6621
64,4360;2,0118;61,8000;2,1513;49,4414;61,8000;49,4414
64,9460;1,9843;62,1600;2,1086;47,0414;62,1600;47,0414
65,4600;1,9684;62,1400;2,1346;47,8276;62,1400;47,8276
65,5320;1,9742;62,3400;2,1246;50,0345;62,3400;50,0345
65,2860;1,9681;63,2400;2,0563;49,6345;63,2400;49,6345
66,9500;1,9204;63,7700;2,0986;48,2000;63,7700;48,2000
66,7120;1,9214;63,9500;2,0508;50,8759;63,9500;50,8759
66,5760;1,9317;64,8200;2,0439;49,1586;64,8200;49,1586
67,9100;1,8910;64,0800;2,1086;50,1862;64,0800;50,1862
68,3280;1,8726;64,2100;2,0311;50,9517;64,2100;50,9517
68,2820;1,8767;64,8500;2,0074;52,6690;64,8500;52,6690
69,4340;1,8370;64,7100;2,0327;49,3103;64,7100;49,3103
69,3540;1,8362;65,3600;2,0186;49,2966;65,3600;49,2966
70,0080;1,8166;65,9500;1,9813;53,0621;65,9500;53,0621
70,3640;1,8011;66,4300;1,9665;53,4621;66,4300;53,4621
70,0400;1,8123;67,3000;1,9485;52,0069;67,3000;52,0069
