train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
2,3627;4,5995;4,7200;4,4174;4,4421
3,2807;4,5733;7,2100;4,2953;6,5316
4,2847;4,5588;8,7000;4,2592;7,9737
4,5507;4,5542;8,1800;4,3072;7,4053
5,0333;4,5432;8,2100;4,2027;7,8053
5,4933;4,5365;10,4200;4,2641;9,4895
5,6820;4,5344;10,5900;4,1279;9,3789
6,5020;4,5211;14,1100;4,1468;12,4263
7,2500;4,5116;15,0200;3,9261;12,8000
7,6380;4,5062;14,7400;3,9920;12,6000
7,9847;4,5029;13,5800;4,2079;11,6947
8,0687;4,5115;18,8500;4,1305;16,7947
10,5300;4,4628;20,3200;3,7740;18,0789
11,5040;4,4451;22,5300;3,7734;19,6579
10,7793;4,4781;23,2000;3,8584;20,9684
11,8647;4,4534;22,4400;3,9503;19,2053
12,7640;4,4375;24,3400;3,7517;21,4526
13,5707;4,4157;26,9300;3,5575;23,2316
14,0707;4,4149;27,8000;3,5898;25,0947
14,3307;4,4129;29,8900;3,4435;25,8684
14,2407;4,4238;30,5600;3,5889;26,1211
16,7707;4,3691;31,7600;3,3424;27,3632
14,7347;4,4233;31,9600;3,4687;27,7105
16,5193;4,3775;32,9400;3,3673;28,2842
16,2433;4,3876;32,5600;3,3780;28,2368
9,9680;4,4829;20,2500;3,9347;17,8737
11,9167;4,4524;19,2200;3,7557;15,4895
12,7527;4,4417;23,1400;3,7461;18,9579
13,1287;4,4353;29,2100;3,3426;24,8421
13,3307;4,4396;29,5400;3,7039;26,0368
14,9100;4,4047;30,4900;3,3560;25,2737
14,2160;4,4277;31,6500;3,3847;27,8158
14,5367;4,4353;31,8700;3,3494;28,0105
16,6467;4,3837;34,9900;3,4809;30,2000
16,7480;4,3801;32,0500;3,4459;28,1421
17,7713;4,3594;33,2300;3,5032;28,9158
18,1660;4,3695;34,0500;3,5488;27,7526
17,4527;4,3859;36,7600;3,4937;31,3105
19,3727;4,3402;38,5000;3,2262;32,7105
19,1013;4,3499;33,8300;3,2624;29,5526
21,2220;4,2981;41,1300;3,0459;35,4684
20,1460;4,3376;35,5700;3,5313;29,2263
21,3813;4,3126;43,5600;3,1243;37,2368
22,2787;4,2901;43,9200;3,2578;37,5474
21,1133;4,3229;45,5300;3,0284;39,4000
20,5280;4,3385;45,6400;3,5031;39,8789
21,1113;4,3287;46,3800;3,1971;39,7526
20,4733;4,3427;48,1600;3,0133;41,3895
23,7667;4,2640;40,3500;3,6195;33,3263
22,6440;4,2966;44,5500;3,2079;37,1211
24,2300;4,2560;49,8500;2,6702;43,2632
22,8340;4,2967;51,9300;2,5867;44,4789
24,2373;4,2681;52,9900;2,7515;45,8474
25,6960;4,2360;49,7500;2,8493;43,1632
24,9480;4,2536;52,9900;2,8263;44,4947
25,0353;4,2483;54,5200;2,9539;47,7263
26,2473;4,2277;56,3900;2,9070;47,0421
26,4620;4,2116;56,8600;2,5183;48,1263
28,7220;4,1642;56,3200;2,6543;48,7158
30,2287;4,1344;57,6500;2,6717;48,9526
29,0953;4,1729;55,1700;3,2720;46,8895
27,1673;4,2170;59,5400;2,7825;50,4211
27,8920;4,1990;57,7700;2,4750;50,1842
30,1067;4,1319;60,5100;2,5775;51,6263
29,3427;4,1860;60,5200;2,7393;51,3737
27,9053;4,1836;61,3900;2,5670;52,1737
30,4087;4,1418;61,8900;2,4723;53,7421
31,0020;4,1214;62,2500;2,5138;53,8947
27,8393;4,2160;62,2700;2,6741;53,5158
30,1773;4,1525;62,9400;2,6752;54,5211
30,2413;4,1473;62,8400;2,5076;53,6947
32,1493;4,1001;63,3200;2,5478;54,0316
31,5813;4,0915;63,5500;2,3736;54,2632
31,4927;4,0996;63,2800;2,2614;53,9895
29,8200;4,1448;63,3700;2,5236;54,2158
19,9447;4,3505;38,8800;3,6734;32,5368
21,8847;4,3206;43,0400;3,2747;36,3105
23,4413;4,2894;46,3500;2,9965;39,7421
23,5753;4,2762;45,7300;3,2134;39,7211
22,6220;4,3011;48,9900;3,3542;40,4368
24,4840;4,2514;51,2800;2,8626;42,8105
25,0020;4,2488;49,4400;3,0367;41,5895
23,9847;4,2678;50,0100;2,7584;43,4737
22,2113;4,3241;51,9200;2,9396;43,7368
24,8240;4,2605;50,0100;2,9578;41,9789
25,6080;4,2618;51,0400;2,7861;41,1158
24,7853;4,2625;50,4700;2,9625;42,1737
25,6120;4,2512;50,9600;2,9062;41,5842
24,5613;4,2592;56,9400;2,6757;47,1263
26,2173;4,2369;49,0200;3,2137;40,5053
26,6667;4,2195;55,8900;2,7233;48,7474
27,3687;4,2117;56,9300;2,7125;48,9842
27,7573;4,1904;55,9000;2,4598;45,5526
23,6193;4,2901;55,8200;2,6074;47,8895
26,1560;4,2495;52,6600;2,7632;43,0737
26,7847;4,2140;55,1100;2,5754;47,0158
26,1673;4,2298;56,8600;2,6532;47,2105
29,6227;4,1599;55,9100;2,5296;47,4316
27,6987;4,2019;57,7300;2,5771;48,8632
26,8573;4,2204;58,6000;2,6345;49,2421
27,2987;4,2035;57,0000;2,9409;48,5526
27,0153;4,2168;53,8700;2,7374;46,7263
27,1093;4,2184;58,4900;2,9484;49,1737
24,9960;4,2730;58,6300;2,7701;50,4000
27,5613;4,2236;58,8800;2,7838;50,4211
25,8173;4,2465;55,2500;2,5289;44,4526
26,9547;4,2311;57,7300;2,5044;49,6158
26,9800;4,2286;55,0100;3,1396;45,1263
28,9893;4,1723;56,9300;2,8950;49,0211
27,9880;4,1869;58,6400;2,6039;49,6632
28,4887;4,1766;59,7300;2,5141;50,9737
27,5467;4,2026;60,2900;2,6024;51,2000
29,7947;4,1661;60,1100;2,4633;51,3579
29,5427;4,1709;59,7100;2,6439;50,7053
28,9980;4,1822;59,5300;2,7361;50,8579
29,9827;4,1606;58,4400;2,7915;49,4000
29,6713;4,1649;61,5300;2,2750;51,5368
32,8207;4,0865;59,7900;2,4049;49,8263
29,6380;4,1604;61,6200;2,5703;52,7842
28,7033;4,1940;62,3700;2,6354;52,9263
31,3793;4,1136;62,2300;2,8456;51,9211
28,4680;4,1892;62,0900;2,9790;53,1000
29,9753;4,1642;62,7900;2,5585;53,2474
32,1133;4,0948;63,4000;2,5476;54,6263
33,1627;4,0716;62,7400;2,2781;53,3158
32,5727;4,0928;63,0100;2,3313;53,4895
32,8353;4,0888;63,1600;2,5088;53,1526
27,9613;4,1987;63,7000;2,6295;55,2684
31,8287;4,1283;63,7800;2,1932;54,1526
32,6327;4,1037;61,7400;3,1062;52,4737
32,7940;4,0990;64,6900;2,9946;54,6895
29,4680;4,1730;65,4800;2,6942;56,2000
27,1320;4,2257;62,9800;3,2406;55,4105
31,1773;4,1261;62,6200;2,4630;53,7737
35,0553;4,0397;65,3000;2,3918;56,6211
31,2473;4,1317;66,4300;2,8348;58,0474
35,0507;4,0335;66,5300;2,2242;58,2053
31,4600;4,1294;66,9000;2,1805;58,3105
34,1007;4,0819;64,9000;2,8485;54,2947
33,4980;4,0955;67,9700;2,4606;57,8895
32,2473;4,1301;67,0800;2,6504;58,0316
33,0413;4,1028;67,6500;2,4292;58,3842
36,3473;4,0189;67,9600;2,7615;59,1947
33,6647;4,0684;69,1800;2,5526;60,1158
34,6367;4,0501;68,8700;2,2339;60,1579
31,9373;4,1121;68,5400;2,1933;59,4684
37,0387;3,9922;69,5000;2,2366;59,9000
35,9600;4,0147;68,7100;2,2336;61,0684
34,3687;4,0709;69,7400;2,2185;59,9263
35,2140;4,0263;70,4300;2,2097;61,6895
34,6600;4,0480;70,0900;2,3082;60,6368
37,4513;3,9835;70,7200;2,0811;62,3158
34,7093;4,0719;71,3100;2,0709;62,1895
36,4687;4,0012;71,3800;2,2279;61,8737
37,0773;4,0027;70,7300;2,9871;60,8421
33,2080;4,1030;71,9000;2,0896;62,2737
40,0927;3,9177;71,9600;2,0892;63,1895
37,0893;3,9943;71,9800;2,6219;62,6526
37,9493;3,9848;71,8000;2,4906;63,3000
36,5907;4,0122;72,2400;2,1465;62,9105
39,5500;3,9272;72,8100;2,1963;63,8579
39,0473;3,9581;72,5000;2,0061;63,8368
39,5587;3,9398;72,9500;1,9951;64,1474
39,1467;3,9312;73,3200;2,0189;64,2474
36,3213;4,0150;73,0600;2,0784;64,4263
39,6427;3,9409;73,2100;1,9524;64,2053
35,2387;4,0350;73,2800;2,5460;64,3053
35,7293;4,0324;73,3500;2,2130;64,1105
37,2327;3,9892;73,3100;3,0151;64,5526
36,7740;3,9962;74,0000;2,0811;65,1632
38,4027;3,9644;73,1900;2,8635;64,6263
38,6613;3,9664;73,5400;2,0876;65,0526
