train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial
13,6473;4,1627;24,1900;3,6434;22,5241;8,4800
31,6427;3,6597;38,1700;3,1660;32,8759;8,3700
43,0493;3,3581;47,8300;2,9006;37,1586;8,7100
49,8307;3,1696;51,2300;2,8064;37,4207;9,6700
54,3853;3,0466;53,6600;2,7094;38,5931;10,3800
57,2167;2,9616;57,5500;2,5228;45,4897;12,5500
59,4727;2,8916;60,0400;2,4227;44,1172;11,7600
61,8353;2,8234;60,9000;2,4151;45,2483;14,2400
63,4167;2,7722;60,9000;2,4074;45,4207;13,3500
64,7787;2,7239;64,9200;2,2613;45,8828;15,2400
66,1253;2,6801;64,4400;2,2480;45,3724;14,2800
67,2313;2,6450;65,2900;2,2384;48,7586;15,5900
68,1200;2,6114;65,9800;2,2505;47,6345;15,1000
69,0313;2,5821;67,8200;2,1443;48,4966;16,6100
70,4567;2,5378;68,4600;2,0926;50,3379;16,8200
70,8860;2,5150;69,4200;2,0897;50,9379;17,3700
71,5920;2,4905;69,4800;2,0210;50,2069;17,9800
72,9613;2,4473;70,4100;2,0122;52,7310;18,3300
73,3280;2,4291;71,3000;1,9673;54,2414;19,3100
74,1000;2,4058;72,0000;1,9661;55,0138;18,5500
74,8433;2,3799;72,2000;1,9441;54,8000;18,6000
75,3667;2,3580;72,7000;1,9104;54,4828;19,7800
76,2027;2,3299;73,1700;1,8893;56,4828;20,6400
76,6000;2,3188;73,5900;1,8580;56,2552;20,0600
77,0067;2,3039;74,2300;1,8522;55,5448;20,0600
77,2913;2,2915;74,7400;1,8391;56,6069;20,8000
77,7400;2,2708;74,7200;1,8112;56,5862;21,1000
78,0553;2,2665;74,7600;1,8111;56,0414;21,1900
78,1073;2,2629;75,1200;1,7988;56,2966;20,9300
78,3993;2,2549;75,1800;1,8138;56,0138;20,7300
68,9727;2,5671;66,0900;2,1981;49,9931;14,3600
68,7120;2,5780;66,9800;2,1890;51,7241;17,0100
69,4380;2,5541;67,5500;2,1036;48,3586;16,1700
69,7813;2,5392;67,5300;2,1144;46,9724;15,7400
70,2133;2,5217;68,8300;2,0961;50,5172;17,8400
70,4713;2,5138;68,9500;2,0340;50,6069;18,9900
70,7867;2,5018;68,4200;2,0781;52,0345;17,0100
71,5187;2,4773;68,6800;2,0841;53,3172;17,7000
71,9887;2,4625;69,3400;1,9928;51,5310;17,6900
72,1053;2,4546;70,1600;2,0238;55,3862;19,8000
72,6080;2,4405;70,7400;1,9524;51,2345;18,4500
73,0920;2,4265;71,3500;2,0106;53,7862;18,7400
72,9500;2,4218;70,5900;1,9675;55,2483;19,9000
73,4927;2,4055;70,6300;1,9709;54,0759;19,3700
73,7680;2,3930;70,7600;1,9425;54,4552;19,1300
74,2433;2,3812;72,2200;1,9122;53,0621;20,9400
74,3693;2,3746;71,7900;1,9218;55,6414;20,7800
74,8107;2,3610;72,2800;1,9328;56,0414;21,1600
75,0053;2,3517;72,1800;1,9507;54,6552;20,5000
75,6760;2,3314;72,6100;1,8950;56,2483;19,8200
75,5693;2,3299;72,6900;1,9073;55,1103;20,1200
76,0207;2,3165;73,2200;1,8539;54,1862;20,6400
75,9760;2,3141;73,4300;1,9062;56,0759;22,2700
76,4400;2,2977;73,4700;1,8334;53,2552;21,5000
76,6973;2,2872;73,5700;1,8439;55,0621;21,8200
77,0307;2,2818;74,2900;1,8584;57,5793;23,0300
77,3907;2,2616;74,3800;1,7962;57,4000;22,6300
77,5013;2,2603;74,4600;1,8096;58,5379;23,3900
77,8207;2,2452;74,3900;1,8166;57,7862;21,7200
78,3560;2,2312;74,6400;1,8102;57,2690;24,1300
78,2493;2,2257;74,9500;1,7542;57,8483;22,9300
78,6653;2,2163;75,6000;1,7736;60,3172;23,8500
78,8793;2,2063;75,4900;1,7812;55,3517;24,1100
79,2340;2,1965;75,4100;1,7600;58,2966;24,6200
79,6280;2,1798;76,0900;1,7266;59,2483;25,7600
79,8980;2,1679;76,1600;1,7550;58,6000;23,6500
79,8867;2,1719;76,1500;1,7323;58,6000;25,5900
80,3873;2,1513;76,6800;1,7260;59,1034;24,5900
80,6880;2,1393;76,7700;1,6862;60,0966;23,9800
80,8140;2,1325;76,8200;1,6784;59,0621;24,7900
81,2080;2,1188;76,9200;1,6882;58,6345;23,9900
81,5400;2,1025;77,0900;1,6776;59,2966;26,3200
81,7620;2,0986;77,6600;1,6595;60,9034;26,0200
81,8773;2,0902;77,8200;1,6754;61,6414;26,0700
82,2907;2,0755;77,9000;1,6736;60,6276;27,2400
82,3633;2,0733;78,2800;1,6400;59,9379;26,0600
82,6180;2,0640;78,0000;1,6359;59,8414;27,9100
82,9427;2,0510;78,5000;1,6316;61,0759;26,9000
83,1333;2,0429;78,3800;1,6391;61,8897;27,4000
83,2047;2,0404;78,8000;1,6131;60,9517;26,3900
83,4780;2,0270;78,6200;1,6042;61,2897;26,8300
83,6000;2,0262;78,6300;1,6020;61,4414;27,2800
83,9760;2,0119;79,0400;1,6082;62,2621;27,0500
83,9353;2,0123;79,1700;1,6105;61,9448;27,8400
84,1233;2,0054;78,7500;1,6107;61,1448;27,5500
84,1507;2,0045;78,8600;1,5793;62,0483;27,9200
84,1113;2,0007;79,0000;1,6016;61,4621;27,7900
84,0760;2,0026;79,1600;1,5750;61,8621;27,9000
84,0920;2,0030;79,3200;1,5811;62,2345;28,2500
84,2873;1,9990;79,1100;1,5751;62,0621;28,4100
74,7907;2,3510;70,4100;1,9531;54,2069;21,5200
74,0787;2,3725;70,1800;1,9859;49,3379;21,2100
74,1727;2,3785;71,8100;1,9474;56,7103;20,6000
74,3707;2,3660;71,5600;1,9442;55,6966;21,0000
74,3673;2,3630;71,5100;1,9341;55,6276;21,8900
74,6420;2,3557;71,0700;1,9514;53,3103;20,5700
74,7753;2,3542;71,2300;1,9328;57,9586;22,3100
75,0313;2,3462;72,0000;1,9219;56,5172;22,0300
74,9713;2,3442;70,7700;1,9382;54,5241;19,6400
75,2187;2,3324;72,3800;1,8769;55,3862;21,6000
75,2213;2,3329;72,1100;1,9370;53,5517;20,8700
75,4900;2,3214;72,7300;1,9048;54,8069;22,2400
75,7213;2,3178;72,8100;1,8919;54,8690;20,6300
75,8953;2,3094;72,9400;1,8779;56,2552;20,3100
75,9880;2,3077;72,9000;1,9028;52,1586;22,0800
76,0393;2,3063;72,8400;1,8822;54,7379;21,5800
76,1233;2,3020;73,5900;1,8658;57,0345;22,7900
76,3740;2,2969;72,8400;1,9176;54,9586;22,5300
76,3233;2,2897;74,0000;1,8507;56,0621;22,4800
76,6867;2,2822;72,8700;1,8743;53,2207;22,2800
76,5813;2,2912;73,7200;1,8694;57,8414;23,1500
76,8893;2,2770;73,4500;1,8595;57,2345;24,4100
76,8073;2,2765;73,5800;1,8533;53,5241;22,8100
76,8040;2,2728;73,2900;1,8706;55,3862;23,3500
76,8540;2,2706;73,5000;1,8803;58,7241;24,1800
77,1380;2,2635;74,1300;1,8537;55,2552;23,6300
77,2053;2,2597;73,8200;1,8854;55,2000;24,5400
77,2507;2,2570;74,3500;1,8129;55,5172;23,0700
77,4240;2,2518;73,9700;1,8171;54,8552;24,0100
77,5900;2,2486;74,3300;1,8073;56,4345;24,1400
77,5973;2,2475;74,5700;1,8088;56,3931;23,5900
77,6533;2,2427;74,8900;1,7979;60,5310;24,7400
77,8373;2,2358;74,4000;1,8449;55,9586;24,5500
77,8513;2,2386;74,4900;1,8336;55,3862;24,2700
78,0080;2,2310;74,8100;1,8315;55,5379;25,0600
78,2327;2,2230;75,0400;1,8309;54,8069;23,0700
78,4147;2,2171;74,5900;1,8276;57,9931;25,2400
78,4047;2,2154;74,6900;1,8052;56,7448;23,2000
78,4487;2,2175;74,0700;1,8220;55,7448;24,9400
78,3607;2,2146;74,6400;1,8710;58,3241;24,7100
78,3507;2,2157;74,8900;1,7975;54,1931;25,6600
78,6153;2,2070;76,4400;1,7621;58,2552;25,8900
78,9213;2,1975;75,4900;1,7927;59,5103;26,4200
78,9807;2,1952;75,1400;1,7872;58,4276;23,5100
78,9420;2,1952;74,8400;1,7901;56,3172;23,8500
79,0913;2,1891;75,8500;1,7524;58,0759;24,3300
79,3547;2,1813;75,2700;1,7649;58,6966;27,5100
79,3547;2,1781;74,8300;1,7878;58,2345;24,7800
79,7093;2,1692;76,2200;1,7403;57,8621;25,1300
79,6667;2,1706;75,7200;1,8478;57,3586;23,6000
79,6880;2,1676;75,9200;1,7469;58,3241;25,5100
79,8460;2,1658;75,9400;1,7525;58,8207;25,0600
79,9340;2,1603;76,0400;1,7641;57,2000;25,5700
80,0160;2,1532;75,8100;1,7301;59,8276;25,6200
80,1853;2,1507;77,6200;1,7200;59,8690;25,1000
80,4653;2,1384;76,4200;1,7239;59,1241;27,0800
80,6000;2,1402;77,1500;1,7398;57,8207;25,9700
80,6027;2,1306;77,0000;1,7391;59,2828;26,4400
80,5173;2,1370;76,1700;1,7218;58,2483;27,0800
80,8553;2,1214;76,5400;1,7134;57,7379;26,1500
80,6480;2,1329;76,7300;1,7529;60,9379;26,3400
