train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust;valid_accuracy_adversarial;valid_accuracy_swa;valid_accuracy_robust_swa;valid_accuracy_adversarial_swa
8,1380;4,1723;11,0500;4,0250;11,1103;6,1300;11,0500;11,1103;6,1300
17,4680;3,7198;21,3900;3,5783;21,8690;9,3700;21,3900;21,8690;9,3700
26,9180;3,3279;27,1000;3,5231;26,1172;11,6200;27,1000;26,1172;11,6200
35,2160;3,0310;36,5700;3,1147;29,2862;15,4800;36,5700;29,2862;15,4800
41,0880;2,8254;40,1600;2,9734;32,4103;18,6700;40,1600;32,4103;18,6700
46,2940;2,6461;43,9700;2,8300;36,2897;21,0100;43,9700;36,2897;21,0100
49,3620;2,5327;44,1500;2,6942;35,5897;17,0800;44,1500;35,5897;17,0800
52,1200;2,4419;49,6600;2,5320;40,8966;21,2800;49,6600;40,8966;21,2800
54,3740;2,3551;50,2400;2,4891;41,3690;22,6600;50,2400;41,3690;22,6600
57,1100;2,2738;54,0400;2,4126;41,0345;26,0300;54,0400;41,0345;26,0300
58,6360;2,2182;53,5800;2,4386;43,2793;26,9000;53,5800;43,2793;26,9000
60,2680;2,1657;55,8300;2,3179;43,6000;26,3400;55,8300;43,6000;26,3400
61,4000;2,1206;58,9900;2,2142;44,6379;30,0700;58,9900;44,6379;30,0700
62,4240;2,0805;59,4000;2,1974;45,5690;28,8700;59,4000;45,5690;28,8700
63,8620;2,0400;58,0000;2,2412;43,9621;30,5600;58,0000;43,9621;30,5600
64,6080;2,0075;60,5500;2,1888;46,9793;32,6800;60,5500;46,9793;32,6800
65,9020;1,9673;61,7900;2,1313;47,8931;33,9300;61,7900;47,8931;33,9300
66,4720;1,9404;62,8700;2,1048;47,9241;34,6100;62,8700;47,9241;34,6100
67,5740;1,9069;64,7000;2,0246;48,0310;35,5200;64,7000;48,0310;35,5200
68,7400;1,8687;65,3500;1,9991;49,4241;36,8700;65,3500;49,4241;36,8700
69,4680;1,8443;66,3800;1,9712;50,0655;37,8100;66,3800;50,0655;37,8100
70,3160;1,8239;66,7900;1,9474;50,8724;37,7900;66,7900;50,8724;37,7900
70,8600;1,8023;66,9300;1,9610;50,7862;38,3100;66,9300;50,7862;38,3100
71,3980;1,7774;67,9100;1,9121;52,0138;38,3700;67,9100;52,0138;38,3700
71,9220;1,7619;68,2800;1,9118;51,5793;40,5200;68,2800;51,5793;40,5200
72,4260;1,7467;68,4500;1,9011;52,2034;40,0500;68,4500;52,2034;40,0500
72,7620;1,7303;69,0100;1,8861;52,5759;41,3000;69,0100;52,5759;41,3000
73,3500;1,7147;69,0200;1,8758;52,1103;41,2000;69,0200;52,1103;41,2000
72,8400;1,7250;69,5100;1,8805;53,0138;41,6600;69,5100;53,0138;41,6600
73,4640;1,7163;69,4000;1,8690;53,0483;41,2500;69,4000;53,0483;41,2500
64,6800;2,0002;59,9800;2,1970;45,8793;33,5500;59,9800;45,8793;33,5500
64,3660;2,0113;60,6100;2,1482;45,9552;32,1800;60,6100;45,9552;32,1800
65,0860;1,9810;58,0700;2,2607;41,9207;29,6100;58,0700;41,9207;29,6100
65,7820;1,9604;61,3100;2,1502;46,5759;34,1100;61,3100;46,5759;34,1100
66,1100;1,9495;63,0600;2,1045;46,4241;34,3000;63,0600;46,4241;34,3000
66,8220;1,9296;61,9500;2,1029;48,7931;33,0600;61,9500;48,7931;33,0600
67,7280;1,8931;62,6900;2,0973;48,4379;33,6500;62,6900;48,4379;33,6500
67,7960;1,8893;64,1900;2,0285;48,8241;34,2300;64,1900;48,8241;34,2300
68,8340;1,8618;64,6000;2,0119;49,5793;37,1100;64,6000;49,5793;37,1100
69,1760;1,8486;64,5700;2,0765;50,2069;38,9600;64,5700;50,2069;38,9600
69,3160;1,8375;65,9500;1,9765;50,1310;38,2200;65,9500;50,1310;38,2200
69,3780;1,8292;65,9800;1,9681;49,6379;37,7800;65,9800;49,6379;37,7800
70,1260;1,8206;67,1300;1,9631;48,4793;38,2600;67,1300;48,4793;38,2600
70,1700;1,8046;67,8700;1,9318;50,9207;41,4300;67,8700;50,9207;41,4300
70,2340;1,8042;66,0100;1,9719;48,3655;38,0500;66,0100;48,3655;38,0500
71,3660;1,7643;67,5400;1,9397;51,2310;41,1500;67,5400;51,2310;41,1500
