train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
6,3080;4,2128;10,8800;3,7707;11,8789
12,5900;3,7589;17,3700;3,4719;17,8316
18,5980;3,3922;19,1400;3,5009;19,2421
24,2340;3,0803;30,8300;2,7204;30,8947
29,2620;2,8295;30,3200;2,8257;23,5474
33,2160;2,6181;36,1000;2,4571;30,8842
36,6000;2,4604;40,5500;2,2629;33,1789
39,8620;2,3202;45,3200;2,0403;32,8789
42,4080;2,1960;47,4900;1,8897;37,7474
44,4320;2,1140;51,3100;1,7978;39,1211
46,4300;2,0284;52,5400;1,7307;42,1000
48,0880;1,9454;52,0400;1,7809;36,8526
49,8400;1,8765;56,1400;1,5845;43,8947
51,5680;1,8072;58,4800;1,4615;42,0737
52,7740;1,7549;59,4400;1,4287;44,7368
54,1780;1,7011;56,5300;1,5815;39,2526
55,2200;1,6593;57,9800;1,5340;40,6632
56,2720;1,6127;61,9000;1,3442;44,8263
56,9440;1,5699;62,1600;1,3610;43,5105
58,4800;1,5296;62,7300;1,3164;50,2842
59,2200;1,4965;63,2400;1,3044;45,4105
60,2840;1,4525;62,7000;1,3692;46,2895
61,1280;1,4255;61,6900;1,3595;41,5895
62,1340;1,3815;64,8200;1,2873;47,6105
62,7080;1,3602;65,8200;1,2344;50,3632
63,4880;1,3334;64,8600;1,2497;50,5947
64,1460;1,3012;66,4500;1,1948;48,9895
64,7800;1,2802;66,3600;1,2279;50,2947
65,7140;1,2456;66,4400;1,1925;46,9842
66,3340;1,2185;65,9000;1,2375;47,5895
67,1460;1,1919;67,6500;1,1829;49,3053
67,6980;1,1718;67,1700;1,1961;49,7789
68,3960;1,1375;66,6400;1,1891;49,9316
69,0460;1,1266;65,9900;1,2473;48,1053
69,8800;1,0932;69,1200;1,1224;50,3579
70,4460;1,0649;68,9300;1,1415;51,7421
71,0480;1,0533;69,5500;1,1011;52,0579
71,7020;1,0197;69,8800;1,1108;50,2789
72,2260;1,0099;70,0700;1,0900;51,3316
72,5360;0,9955;70,6200;1,0605;51,9211
73,1140;0,9725;68,3600;1,1505;51,7789
73,7600;0,9528;70,2200;1,0888;52,9000
74,2120;0,9405;70,1800;1,1031;51,9737
74,6640;0,9212;70,1200;1,1134;51,3789
74,8460;0,9186;71,1200;1,0664;53,9789
75,5540;0,8899;71,2000;1,0827;54,1895
75,9800;0,8734;72,0000;1,0392;54,8211
76,4540;0,8602;71,9800;1,0538;53,7158
76,9720;0,8450;72,3600;1,0319;54,6421
77,3940;0,8298;72,3200;1,0288;55,8000
77,8420;0,8047;72,1900;1,0437;53,1000
78,1400;0,8006;72,2600;1,0514;54,6158
78,3620;0,7960;72,6100;1,0276;54,0474
78,8760;0,7805;73,0300;1,0247;55,0526
79,5580;0,7526;72,3400;1,0615;51,0579
79,9480;0,7423;73,1800;1,0441;54,5316
80,2420;0,7337;73,1100;1,0471;55,0263
80,6740;0,7208;72,6600;1,0400;55,6316
80,7200;0,7095;73,1800;1,0366;56,0105
80,9440;0,7008;73,1200;1,0231;54,3105
81,5500;0,6940;73,2500;1,0374;56,1158
81,7240;0,6839;73,5500;1,0228;55,7263
82,1020;0,6670;73,1700;1,0427;55,6895
82,0620;0,6667;73,3800;1,0338;55,6105
82,4660;0,6542;73,7400;0,9947;56,2789
82,9200;0,6450;73,7000;1,0192;54,7105
83,2920;0,6310;74,5300;1,0105;57,2263
83,5400;0,6171;74,0400;1,0004;57,2000
83,5320;0,6260;74,5400;0,9766;56,4579
84,0900;0,5980;74,4800;0,9786;56,7895
84,1200;0,6000;74,7100;0,9578;56,1947
84,6660;0,5822;74,9200;0,9730;57,9263
84,3620;0,5828;74,9400;1,0019;57,3211
84,9480;0,5711;74,7400;0,9593;57,5737
85,1560;0,5658;75,2400;0,9720;58,7947
85,4340;0,5535;74,7500;0,9544;57,1474
85,6800;0,5523;75,2600;1,0186;57,9737
85,2880;0,5575;75,2500;0,9372;58,0211
85,6220;0,5448;75,3400;0,9244;58,7211
85,8100;0,5401;75,5800;0,9261;58,2684
86,0380;0,5326;75,3500;0,9258;58,7895
86,2040;0,5236;75,7200;0,9322;58,1579
86,5680;0,5164;75,4600;0,9324;57,8579
86,4540;0,5180;75,7300;0,9269;58,9684
86,2140;0,5204;75,7200;0,9398;58,1053
86,9400;0,5012;75,9500;0,9351;57,6895
87,0780;0,4970;76,2300;0,9483;58,9789
87,0500;0,4983;76,2700;0,9247;58,4684
87,0220;0,5010;76,2000;0,9439;58,5526
87,2440;0,4943;76,1700;0,9069;58,3632
87,0780;0,4945;76,2400;0,9016;58,3526
87,3280;0,4898;75,9400;0,9103;58,8842
87,1520;0,4912;76,1900;0,9087;58,7684
87,2720;0,4869;75,9400;0,9170;58,8632
87,1680;0,4857;76,1000;0,9110;58,6474
87,5900;0,4782;76,2200;0,9059;58,5842
87,3380;0,4842;76,2900;0,9058;58,6632
87,5820;0,4791;76,1800;0,9033;58,3316
87,1280;0,4953;76,1900;0,9202;58,4053
87,5040;0,4797;76,1900;0,9168;58,3632
