train_accuracy;train_loss;valid_accuracy;valid_loss
2,1660;5,1856;3,7600;4,9623
4,2800;5,0183;6,2200;4,7799
6,2950;4,9054;10,8900;4,4146
8,3110;4,8010;15,9200;4,1211
10,4540;4,6821;18,0400;3,9866
12,3040;4,6232;22,2100;3,7665
13,8560;4,5336;24,0600;3,6995
15,6080;4,4728;24,7700;3,7095
16,8930;4,4220;29,3000;3,4665
18,2010;4,3612;31,0000;3,3804
19,4330;4,3190;33,3000;3,2743
19,7820;4,2825;33,5500;3,2622
14,5280;4,5165;22,0100;3,8627
16,2480;4,4449;23,5700;3,7752
17,0370;4,4169;29,0200;3,5234
18,8340;4,3501;27,7700;3,5405
19,5920;4,3063;30,7800;3,4175
20,8140;4,2542;33,8000;3,3139
23,0900;4,1697;36,0300;3,1934
22,6930;4,1856;37,2600;3,1392
22,9720;4,1904;38,1600;3,1119
24,0140;4,1294;41,0100;3,0096
25,2190;4,1119;40,5300;3,0306
26,7050;4,0713;44,8200;2,8714
27,1310;3,9952;46,0000;2,7843
28,3360;3,9774;45,9400;2,8066
28,5290;3,9498;46,6300;2,7773
30,2050;3,9017;49,3900;2,6747
32,0220;3,8377;50,0700;2,6598
32,4490;3,8499;52,5100;2,5592
33,6230;3,7742;52,7600;2,5533
34,2380;3,7851;54,0600;2,4929
34,2450;3,7532;55,8600;2,4572
35,7820;3,6820;56,0500;2,4305
35,2800;3,7359;56,3500;2,4211
34,9570;3,7438;56,4200;2,4208
26,3400;4,0464;38,0200;3,1680
26,7540;4,0321;41,1000;3,0291
28,6200;3,9700;42,2500;3,0217
27,9430;3,9876;45,2500;2,8259
29,5710;3,9145;43,8300;2,8782
29,7560;3,9454;48,3600;2,7100
30,8670;3,8756;44,0700;2,8882
30,7310;3,8909;48,0400;2,7285
30,6900;3,8646;48,0300;2,7364
31,6460;3,8714;49,2900;2,6876
32,3410;3,8309;49,5200;2,6844
33,2060;3,8184;49,4100;2,6932
33,5680;3,7861;50,4800;2,6233
34,0210;3,7650;48,0600;2,7232
35,5890;3,7148;52,4300;2,5553
34,5420;3,7570;52,3600;2,5768
35,1340;3,6967;52,5000;2,5633
34,9120;3,7167;53,3600;2,5558
36,2370;3,6905;55,2700;2,4587
36,0930;3,6719;55,7300;2,4354
37,7940;3,6046;55,2900;2,4594
37,2740;3,6291;56,3700;2,4340
38,9110;3,5970;56,5500;2,4305
40,1880;3,5160;56,8400;2,3752
39,5590;3,5465;58,5700;2,3272
40,5820;3,5238;58,3900;2,3585
42,3190;3,4382;59,0700;2,3296
41,7680;3,4891;60,7300;2,2695
41,3260;3,5073;60,2100;2,2772
44,6520;3,3483;62,0700;2,2225
44,1470;3,3734;61,7000;2,2360
44,3470;3,3734;61,4000;2,2451
44,4330;3,3705;64,0700;2,1404
45,6810;3,3315;64,8100;2,1224
47,8960;3,2578;64,4100;2,1308
48,1020;3,2572;65,2300;2,1009
47,4870;3,2523;65,7400;2,1137
49,7590;3,1723;66,5400;2,0742
49,2310;3,1904;66,6400;2,0922
49,1870;3,2180;67,3100;2,0387
50,4960;3,1633;67,7100;2,0528
50,9800;3,1193;67,9200;2,0253
50,0910;3,1528;67,9800;2,0155
53,0480;3,0926;68,4700;2,0115
51,6630;3,1278;68,1100;2,0109
53,0270;3,0819;68,2900;2,0030
52,1210;3,0931;68,4700;1,9979
52,8750;3,1012;68,3700;2,0079
35,8160;3,6876;51,0400;2,6188
36,1210;3,6968;52,7900;2,5624
35,5550;3,7128;49,8400;2,6886
36,7550;3,6597;55,0700;2,4875
36,0120;3,6692;52,8000;2,5636
38,0880;3,6052;53,7800;2,5259
37,1390;3,6509;55,8800;2,4562
39,2520;3,5399;54,6600;2,4903
39,7720;3,5404;51,7400;2,6005
38,9930;3,5820;51,6000;2,6206
39,0280;3,5523;54,1100;2,4896
38,9320;3,5643;55,6100;2,4827
39,6480;3,5641;55,4800;2,4678
40,6810;3,5410;52,9500;2,5708
39,8210;3,5413;58,0700;2,3701
40,8570;3,5069;53,7400;2,5427
39,9600;3,5369;56,6000;2,4269
40,2500;3,5208;58,9500;2,3308
41,0650;3,4817;57,8900;2,3707
40,6830;3,5142;56,8100;2,4186
41,4010;3,4442;60,4300;2,2763
41,6380;3,4922;59,0100;2,3456
42,5430;3,4506;57,0200;2,4129
41,9300;3,4823;59,2500;2,3237
42,2340;3,4393;60,5700;2,2849
42,8730;3,4411;59,8600;2,3185
43,2490;3,4091;58,5700;2,3841
41,8960;3,4710;57,1400;2,4105
43,5660;3,4196;61,1800;2,2750
42,6570;3,4397;58,9700;2,3439
43,7120;3,3873;60,8900;2,2625
45,0580;3,3792;58,8500;2,3778
45,1060;3,3281;59,0700;2,3532
45,4110;3,3292;59,7900;2,3022
44,8860;3,3469;61,4700;2,2483
46,5250;3,3117;60,9900;2,2772
45,6650;3,3558;62,2500;2,2513
45,6490;3,3183;62,5700;2,2334
46,6320;3,3092;60,8800;2,2728
46,6810;3,2987;62,8100;2,2050
46,2270;3,3085;62,4700;2,2424
47,9150;3,2717;63,1500;2,1823
