train_accuracy;train_loss;valid_accuracy;valid_loss;valid_accuracy_robust
5,2680;4,8177;7,9900;4,4367;3,6263
13,1790;4,2586;12,7900;4,0945;5,5632
19,3250;3,9188;17,0300;3,8950;8,3105
23,8210;3,6983;18,1000;3,8525;6,7579
28,2290;3,5084;24,0700;3,4087;10,6789
32,1300;3,3464;21,3000;3,8511;9,0526
36,0000;3,1979;30,2100;3,0915;10,2211
39,4290;3,0569;29,3500;3,2937;10,9895
42,6090;2,9375;30,3500;3,3430;10,6158
45,0350;2,8510;32,6000;3,2179;11,5842
32,0030;3,3518;23,5200;3,7594;9,1000
35,3290;3,2188;30,3700;3,1025;12,9053
37,6390;3,1240;29,2700;3,1575;14,6895
39,4600;3,0524;30,3100;3,1417;13,5263
41,1460;2,9869;37,6000;2,6551;15,4684
42,5570;2,9199;36,3100;2,7214;12,7368
44,0820;2,8649;40,5400;2,5334;15,3000
45,4480;2,8085;35,4200;2,9241;13,9053
47,0580;2,7486;42,4400;2,5060;17,8632
48,7100;2,6867;45,8400;2,3206;20,4895
50,6000;2,6200;44,6000;2,3924;20,9684
52,6640;2,5444;47,3000;2,3116;20,9789
54,6660;2,4712;48,0500;2,1659;20,0526
56,8180;2,3911;52,4100;2,0188;23,2105
58,9420;2,3185;53,3100;1,9931;23,3842
61,2700;2,2342;55,4900;1,8372;26,8053
63,4360;2,1599;54,6000;1,9605;24,6263
65,5660;2,0885;57,2900;1,7864;25,8316
67,2230;2,0364;57,8400;1,7940;28,1684
68,2400;2,0047;58,4800;1,8208;28,7684
42,4980;2,9265;31,0900;3,0995;13,3526
45,4050;2,8110;40,1700;2,5802;17,2526
46,7370;2,7630;40,0800;2,6106;19,4895
47,4930;2,7344;40,1300;2,5688;16,4737
48,1250;2,7096;42,1700;2,4706;19,6053
48,9290;2,6838;41,4500;2,5260;17,7579
49,4970;2,6594;41,0600;2,5489;15,9211
49,9680;2,6452;43,5900;2,4306;18,6105
50,5370;2,6243;43,1200;2,4226;15,6158
51,2130;2,5996;42,6800;2,4621;16,8000
51,9070;2,5797;43,1300;2,4424;19,3474
52,3200;2,5557;42,2100;2,4899;14,6526
52,9350;2,5324;44,8900;2,3518;19,8947
53,5640;2,5062;44,5600;2,4134;19,5105
54,0240;2,4888;45,1600;2,3566;21,0316
54,8940;2,4569;47,7000;2,2480;21,0842
55,5820;2,4365;47,4200;2,2866;22,5526
56,3170;2,4039;48,1800;2,1938;21,6789
57,2710;2,3743;48,7400;2,2743;19,5842
58,3720;2,3352;50,8200;2,0697;21,3000
59,1700;2,3068;50,8800;2,0742;22,8947
60,0860;2,2694;51,5400;2,1192;23,3842
61,3820;2,2300;51,6300;2,0749;20,9579
62,3050;2,1931;53,2600;2,0457;25,5000
63,3400;2,1559;54,0300;1,9373;21,5105
64,8310;2,1120;54,9800;1,8870;26,5421
66,1160;2,0641;55,2500;1,9482;20,9684
67,4280;2,0192;54,1400;2,0124;23,8000
68,8190;1,9725;57,0400;1,8663;26,5684
70,2290;1,9235;56,4100;1,9436;25,1421
71,9330;1,8727;58,2100;1,8309;28,0421
73,1610;1,8284;58,5700;1,8122;28,2789
74,7700;1,7787;59,6000;1,7872;27,5737
76,3040;1,7324;60,1600;1,7744;27,5842
77,6750;1,6919;60,7100;1,7301;27,4842
78,8640;1,6551;60,8400;1,7211;27,9316
79,7690;1,6248;61,1200;1,7453;28,8000
80,5630;1,6047;61,6200;1,6928;28,5632
81,2160;1,5885;61,3200;1,6930;28,5684
81,3610;1,5821;61,4100;1,6808;28,6053
45,2890;2,8122;38,6600;2,7454;19,3632
49,7790;2,6417;37,8400;2,7879;16,0526
51,0660;2,5964;41,8800;2,5496;20,7316
51,9720;2,5672;43,3800;2,4422;17,6526
52,3180;2,5519;44,7200;2,4152;20,9737
52,8390;2,5410;45,9400;2,3179;19,7158
52,7730;2,5335;40,6200;2,6834;20,5053
53,0050;2,5223;46,2300;2,2972;19,1684
53,2180;2,5166;45,2200;2,3874;20,2526
53,6230;2,5068;42,8200;2,5661;20,8421
53,7490;2,4983;46,3200;2,2983;20,8421
53,9640;2,4952;46,4500;2,2800;20,9421
54,0180;2,4907;44,8600;2,3722;19,8737
54,3300;2,4794;44,4600;2,4730;16,8053
54,4670;2,4753;47,4700;2,2053;24,8579
54,8270;2,4655;46,8100;2,2965;20,6789
54,7140;2,4664;46,0500;2,3185;22,8842
54,9970;2,4555;44,2200;2,5151;23,7895
55,4390;2,4433;46,4400;2,3102;21,3053
55,5480;2,4351;46,9400;2,2731;20,3211
56,0420;2,4195;45,0000;2,4198;20,9421
55,6900;2,4257;46,2400;2,2990;20,6421
56,3850;2,4053;45,2500;2,3229;18,5526
56,8380;2,3901;48,5900;2,2147;21,9421
57,0310;2,3881;48,8000;2,2480;21,1789
57,1120;2,3793;45,1900;2,3633;18,9053
57,4000;2,3654;44,5800;2,4977;24,2789
57,6480;2,3538;48,4200;2,1871;22,1053
58,3440;2,3377;49,5000;2,1991;21,8105
58,5780;2,3238;49,8700;2,1834;21,2842
58,7230;2,3206;49,4600;2,2031;20,6474
59,2420;2,3041;44,1200;2,4890;23,7053
59,4500;2,2933;48,3400;2,2087;22,0000
60,1090;2,2731;47,2700;2,3034;21,1158
60,3480;2,2631;51,1800;2,1148;26,7368
60,9070;2,2399;51,6200;2,0456;24,5368
61,0830;2,2314;50,9900;2,0853;22,3737
61,7150;2,2111;49,6500;2,1521;27,3053
62,0990;2,1972;51,9800;2,0815;23,9105
62,7220;2,1744;52,5700;2,0134;24,4421
63,0440;2,1615;51,0400;2,1947;23,8579
63,5470;2,1400;52,1600;2,0758;24,5684
64,2310;2,1207;51,0200;2,1008;21,2526
64,8240;2,1012;52,4900;2,0710;23,2474
65,1690;2,0875;54,7300;1,9242;25,5737
65,8970;2,0637;54,1500;1,9573;25,9842
66,6560;2,0409;52,0800;2,0822;24,1421
67,4260;2,0167;51,9900;2,0982;25,1947
67,8640;1,9955;54,5800;1,9713;26,3474
68,5360;1,9753;52,4300;2,1264;26,0737
69,5710;1,9450;54,7300;1,9842;26,2632
70,2120;1,9203;54,6000;1,9508;25,8684
70,8210;1,8988;56,3300;1,9044;28,1053
71,6480;1,8737;55,4400;2,0117;25,9526
72,0780;1,8520;58,1000;1,8585;29,0579
73,0470;1,8233;56,0100;1,9989;27,6474
73,9240;1,7984;55,5600;2,0022;27,4316
74,9490;1,7652;56,8000;1,9066;27,5105
75,6190;1,7437;58,1500;1,8296;27,4421
76,6160;1,7111;57,5800;1,8222;29,6158
77,3910;1,6855;58,5600;1,8162;28,2368
78,6140;1,6509;57,9100;1,8127;26,9474
79,3750;1,6248;59,3300;1,7663;27,6105
80,5750;1,5965;58,6100;1,8383;28,9105
81,1620;1,5707;59,2500;1,8174;28,6421
82,2300;1,5412;58,7600;1,8488;28,6263
83,0650;1,5174;60,6000;1,7328;29,0526
84,2620;1,4860;59,5300;1,8256;29,9737
84,9460;1,4653;59,8100;1,7625;30,0947
85,4200;1,4458;59,8600;1,7577;29,9474
86,2480;1,4239;59,9300;1,7977;30,4474
87,1330;1,4036;60,5700;1,8384;30,1211
87,4420;1,3882;60,7200;1,8104;29,9579
88,0710;1,3706;60,7500;1,7514;29,9947
88,4980;1,3599;61,1800;1,7284;29,7842
88,8240;1,3513;60,6800;1,7743;30,0895
89,2050;1,3439;60,9900;1,7561;30,1053
89,2200;1,3416;61,3000;1,7267;30,1000
89,4290;1,3348;60,9600;1,7751;29,9211
89,5250;1,3324;61,3800;1,7887;30,0737
